policy_name,policy_label,seed,scenario,scenario_label,agent_id,policy_class_name,score,infrastructure,production_sites,advanced_sites,innovation
learned_q,Learned Q policy,500000,need_based,Need-based,0,NeedBasedTradePolicy,34,10,0,4,2
learned_q,Learned Q policy,500000,need_based,Need-based,1,NeedBasedTradePolicy,17,11,0,2,1
learned_q,Learned Q policy,500000,need_based,Need-based,2,NeedBasedTradePolicy,19,6,0,2,4
learned_q,Learned Q policy,500000,need_based,Need-based,3,NeedBasedTradePolicy,25,7,1,2,4
learned_q,Learned Q policy,500000,need_based,Need-based,4,NeedBasedTradePolicy,41,12,1,4,3
learned_q,Learned Q policy,500000,cooperative,Cooperative,0,CooperativeTradePolicy,39,15,3,3,5
learned_q,Learned Q policy,500000,cooperative,Cooperative,1,CooperativeTradePolicy,33,11,0,4,1
learned_q,Learned Q policy,500000,cooperative,Cooperative,2,CooperativeTradePolicy,9,4,1,0,8
learned_q,Learned Q policy,500000,cooperative,Cooperative,3,CooperativeTradePolicy,27,8,0,3,4
learned_q,Learned Q policy,500000,cooperative,Cooperative,4,CooperativeTradePolicy,14,5,1,1,6
learned_q,Learned Q policy,500000,hoarding,Hoarding,0,HoardingTradePolicy,46,13,1,5,7
learned_q,Learned Q policy,500000,hoarding,Hoarding,1,HoardingTradePolicy,8,7,0,1,0
learned_q,Learned Q policy,500000,hoarding,Hoarding,2,HoardingTradePolicy,12,5,1,1,1
learned_q,Learned Q policy,500000,hoarding,Hoarding,3,HoardingTradePolicy,17,7,1,1,8
learned_q,Learned Q policy,500000,hoarding,Hoarding,4,HoardingTradePolicy,39,16,3,3,4
learned_q,Learned Q policy,500000,mixed,Mixed,0,HoardingTradePolicy,54,18,3,5,2
learned_q,Learned Q policy,500000,mixed,Mixed,1,CompetitiveTradePolicy,18,12,0,2,2
learned_q,Learned Q policy,500000,mixed,Mixed,2,CooperativeTradePolicy,6,3,1,0,3
learned_q,Learned Q policy,500000,mixed,Mixed,3,SelfishTradePolicy,22,5,0,2,6
learned_q,Learned Q policy,500000,mixed,Mixed,4,FairnessSensitiveTradePolicy,19,10,0,2,4
learned_q,Learned Q policy,500000,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,25,11,2,2,4
learned_q,Learned Q policy,500000,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,13,8,1,1,2
learned_q,Learned Q policy,500000,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,9,3,1,0,8
learned_q,Learned Q policy,500000,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,22,7,1,2,4
learned_q,Learned Q policy,500000,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,49,13,1,5,5
learned_q,Learned Q policy,500000,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,38,17,3,3,2
learned_q,Learned Q policy,500000,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,19,13,1,2,0
learned_q,Learned Q policy,500000,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,6,6,1,0,4
learned_q,Learned Q policy,500000,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,20,6,2,1,8
learned_q,Learned Q policy,500000,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,17,7,2,1,7
learned_q,Learned Q policy,500001,need_based,Need-based,0,NeedBasedTradePolicy,25,7,1,2,5
learned_q,Learned Q policy,500001,need_based,Need-based,1,NeedBasedTradePolicy,39,17,1,4,1
learned_q,Learned Q policy,500001,need_based,Need-based,2,NeedBasedTradePolicy,27,8,0,3,4
learned_q,Learned Q policy,500001,need_based,Need-based,3,NeedBasedTradePolicy,43,12,0,5,4
learned_q,Learned Q policy,500001,need_based,Need-based,4,NeedBasedTradePolicy,26,7,0,3,2
learned_q,Learned Q policy,500001,cooperative,Cooperative,0,CooperativeTradePolicy,25,6,1,2,5
learned_q,Learned Q policy,500001,cooperative,Cooperative,1,CooperativeTradePolicy,27,8,0,3,3
learned_q,Learned Q policy,500001,cooperative,Cooperative,2,CooperativeTradePolicy,36,11,2,3,5
learned_q,Learned Q policy,500001,cooperative,Cooperative,3,CooperativeTradePolicy,30,10,1,3,4
learned_q,Learned Q policy,500001,cooperative,Cooperative,4,CooperativeTradePolicy,6,6,1,0,4
learned_q,Learned Q policy,500001,hoarding,Hoarding,0,HoardingTradePolicy,3,5,0,0,5
learned_q,Learned Q policy,500001,hoarding,Hoarding,1,HoardingTradePolicy,23,9,3,1,8
learned_q,Learned Q policy,500001,hoarding,Hoarding,2,HoardingTradePolicy,27,7,0,3,4
learned_q,Learned Q policy,500001,hoarding,Hoarding,3,HoardingTradePolicy,30,9,0,3,6
learned_q,Learned Q policy,500001,hoarding,Hoarding,4,HoardingTradePolicy,14,4,1,1,4
learned_q,Learned Q policy,500001,mixed,Mixed,0,SelfishTradePolicy,33,10,1,3,5
learned_q,Learned Q policy,500001,mixed,Mixed,1,CooperativeTradePolicy,14,8,1,1,4
learned_q,Learned Q policy,500001,mixed,Mixed,2,HoardingTradePolicy,22,7,1,2,4
learned_q,Learned Q policy,500001,mixed,Mixed,3,CompetitiveTradePolicy,25,6,1,2,8
learned_q,Learned Q policy,500001,mixed,Mixed,4,FairnessSensitiveTradePolicy,22,9,1,2,3
learned_q,Learned Q policy,500001,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,22,8,1,2,3
learned_q,Learned Q policy,500001,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,35,9,0,4,3
learned_q,Learned Q policy,500001,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,14,7,1,1,5
learned_q,Learned Q policy,500001,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,44,10,1,4,9
learned_q,Learned Q policy,500001,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,19,8,0,2,4
learned_q,Learned Q policy,500001,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,34,12,4,2,4
learned_q,Learned Q policy,500001,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,26,8,0,3,2
