baseline_policy,scenario,metric,n_pairs,target_policy,mean_learned_minus_baseline,mean_target_minus_baseline,ci95_low,ci95_high,seed_clustered_ci95_low,seed_clustered_ci95_high,share_target_higher,share_learned_higher
frequency_informed_random,ALL,final_total_score,600,learned_q,-0.9183333333333333,-0.9183333333333333,-3.0772916666666665,1.066791666666666,-3.265041666666667,1.425,0.49,0.49
frequency_informed_random,ALL,final_mean_score,600,learned_q,-0.1836666666666667,-0.1836666666666667,-0.59815,0.22539999999999957,-0.6413500000000001,0.2663416666666664,0.49,0.49
frequency_informed_random,ALL,final_min_score,600,learned_q,0.02,0.02,-0.49341666666666667,0.5134583333333326,-0.595,0.615,0.42,0.42
frequency_informed_random,ALL,bottom_two_mean_score,600,learned_q,0.058333333333333334,0.058333333333333334,-0.40341666666666665,0.5067499999999996,-0.4866666666666667,0.6041666666666666,0.47833333333333333,0.47833333333333333
frequency_informed_random,ALL,final_score_gap,600,learned_q,-0.6966666666666667,-0.6966666666666667,-1.5366666666666666,0.14504166666666643,-1.7850416666666666,0.4133749999999994,0.46,0.46
frequency_informed_random,ALL,gini_score,600,learned_q,-0.006930301712647949,-0.006930301712647949,-0.014119499183680327,0.0007973987977026805,-0.01668350226451991,0.0028075617985029422,0.485,0.485
frequency_informed_random,ALL,final_welfare,600,learned_q,-0.13274999999999998,-0.13274999999999998,-0.5251937499999997,0.2938395833333333,-0.59718125,0.3243499999999998,0.49,0.49
frequency_informed_random,ALL,cumulative_capacity_cost,600,learned_q,4.263333333333334,4.263333333333334,3.944958333333333,4.583333333333333,3.5616666666666665,4.988333333333333,0.8183333333333334,0.8183333333333334
frequency_informed_random,need_based,final_total_score,100,learned_q,-2.99,-2.99,-8.3705,2.2402499999999987,-8.3705,2.2402499999999987,0.46,0.46
frequency_informed_random,need_based,final_mean_score,100,learned_q,-0.5979999999999999,-0.5979999999999999,-1.6842000000000001,0.44999999999999984,-1.6842000000000001,0.44999999999999984,0.46,0.46
frequency_informed_random,need_based,final_min_score,100,learned_q,0.0,0.0,-1.53025,1.5402499999999986,-1.53025,1.5402499999999986,0.46,0.46
frequency_informed_random,need_based,bottom_two_mean_score,100,learned_q,-0.235,-0.235,-1.5251249999999998,0.935,-1.5251249999999998,0.935,0.47,0.47
frequency_informed_random,need_based,final_score_gap,100,learned_q,-1.32,-1.32,-3.64,0.91,-3.64,0.91,0.39,0.39
frequency_informed_random,need_based,gini_score,100,learned_q,-0.0038332232524063282,-0.0038332232524063282,-0.01951768558133892,0.011694023124917161,-0.01951768558133892,0.011694023124917161,0.46,0.46
frequency_informed_random,need_based,final_welfare,100,learned_q,-0.4485000000000003,-0.4485000000000003,-1.525725,0.6035249999999965,-1.525725,0.6035249999999965,0.47,0.47
frequency_informed_random,need_based,cumulative_capacity_cost,100,learned_q,3.58,3.58,2.86,4.290249999999999,2.86,4.290249999999999,0.77,0.77
frequency_informed_random,cooperative,final_total_score,100,learned_q,-1.41,-1.41,-7.04075,3.6709999999999945,-7.04075,3.6709999999999945,0.45,0.45
frequency_informed_random,cooperative,final_mean_score,100,learned_q,-0.2820000000000001,-0.2820000000000001,-1.3382,0.75205,-1.3382,0.75205,0.45,0.45
frequency_informed_random,cooperative,final_min_score,100,learned_q,0.07,0.07,-1.3605,1.46,-1.3605,1.46,0.41,0.41
frequency_informed_random,cooperative,bottom_two_mean_score,100,learned_q,-0.19,-0.19,-1.445,1.0752499999999985,-1.445,1.0752499999999985,0.46,0.46
frequency_informed_random,cooperative,final_score_gap,100,learned_q,-0.19,-0.19,-2.33025,1.72,-2.33025,1.72,0.47,0.47
frequency_informed_random,cooperative,gini_score,100,learned_q,-7.187828072820146e-05,-7.187828072820146e-05,-0.017242371776802216,0.016336726426682772,-0.017242371776802216,0.016336726426682772,0.51,0.51
frequency_informed_random,cooperative,final_welfare,100,learned_q,-0.19400000000000012,-0.19400000000000012,-1.3045750000000012,0.8290124999999999,-1.3045750000000012,0.8290124999999999,0.44,0.44
frequency_informed_random,cooperative,cumulative_capacity_cost,100,learned_q,3.37,3.37,2.63,4.13,2.63,4.13,0.73,0.73
frequency_informed_random,hoarding,final_total_score,100,learned_q,-1.16,-1.16,-5.87075,3.72,-5.87075,3.72,0.51,0.51
frequency_informed_random,hoarding,final_mean_score,100,learned_q,-0.23200000000000004,-0.23200000000000004,-1.1683500000000002,0.69,-1.1683500000000002,0.69,0.51,0.51
frequency_informed_random,hoarding,final_min_score,100,learned_q,0.17,0.17,-0.8402499999999999,1.17,-0.8402499999999999,1.17,0.39,0.39
frequency_informed_random,hoarding,bottom_two_mean_score,100,learned_q,0.05,0.05,-0.9301250000000001,1.01,-0.9301250000000001,1.01,0.48,0.48
frequency_informed_random,hoarding,final_score_gap,100,learned_q,-0.88,-0.88,-3.0,1.1902499999999985,-3.0,1.1902499999999985,0.52,0.52
