q_state_key,action,training_state_visits,training_action_updates
"0,3,2,2,0,0,0",bilateral_3pass,2648,121
"0,3,2,2,0,0,0",clearinghouse,2648,117
"0,3,2,2,0,0,0",public_pool,2648,1907
"0,3,2,2,0,0,0",subsidized_catch_up,2648,131
"0,3,2,2,0,0,0",central_cap2,2648,116
"0,3,2,2,0,0,0",equity_cap2,2648,122
"0,3,2,2,0,0,0",central_full,2648,134
"0,3,1,2,0,0,3",bilateral_3pass,91,8
"0,3,1,2,0,0,3",clearinghouse,91,6
"0,3,1,2,0,0,3",public_pool,91,43
"0,3,1,2,0,0,3",subsidized_catch_up,91,15
"0,3,1,2,0,0,3",central_cap2,91,7
"0,3,1,2,0,0,3",equity_cap2,91,4
"0,3,1,2,0,0,3",central_full,91,8
"0,2,1,2,0,0,3",bilateral_3pass,511,36
"0,2,1,2,0,0,3",clearinghouse,511,403
"0,2,1,2,0,0,3",public_pool,511,12
"0,2,1,2,0,0,3",subsidized_catch_up,511,34
"0,2,1,2,0,0,3",central_cap2,511,13
"0,2,1,2,0,0,3",equity_cap2,511,13
"0,2,1,2,0,0,3",central_full,511,0
"0,3,1,1,0,0,0",bilateral_3pass,3549,173
"0,3,1,1,0,0,0",clearinghouse,3549,173
"0,3,1,1,0,0,0",public_pool,3549,168
"0,3,1,1,0,0,0",subsidized_catch_up,3549,175
"0,3,1,1,0,0,0",central_cap2,3549,202
"0,3,1,1,0,0,0",equity_cap2,3549,163
"0,3,1,1,0,0,0",central_full,3549,2495
"0,2,2,1,0,0,2",bilateral_3pass,284,11
"0,2,2,1,0,0,2",clearinghouse,284,14
"0,2,2,1,0,0,2",public_pool,284,13
"0,2,2,1,0,0,2",subsidized_catch_up,284,224
"0,2,2,1,0,0,2",central_cap2,284,7
"0,2,2,1,0,0,2",equity_cap2,284,15
"0,2,2,1,0,0,2",central_full,284,0
"1,1,0,2,0,0,1",bilateral_3pass,22,22
"1,1,0,2,0,0,1",clearinghouse,22,0
"1,1,0,2,0,0,1",public_pool,22,0
"1,1,0,2,0,0,1",subsidized_catch_up,22,0
"1,1,0,2,0,0,1",central_cap2,22,0
"1,1,0,2,0,0,1",equity_cap2,22,0
"1,1,0,2,0,0,1",central_full,22,0
"1,1,2,3,0,0,0",bilateral_3pass,245,245
"1,1,2,3,0,0,0",clearinghouse,245,0
"1,1,2,3,0,0,0",public_pool,245,0
"1,1,2,3,0,0,0",subsidized_catch_up,245,0
"1,1,2,3,0,0,0",central_cap2,245,0
"1,1,2,3,0,0,0",equity_cap2,245,0
"1,1,2,3,0,0,0",central_full,245,0
"1,2,1,3,0,0,0",bilateral_3pass,794,61
"1,2,1,3,0,0,0",clearinghouse,794,630
"1,2,1,3,0,0,0",public_pool,794,14
"1,2,1,3,0,0,0",subsidized_catch_up,794,67
"1,2,1,3,0,0,0",central_cap2,794,11
"1,2,1,3,0,0,0",equity_cap2,794,11
"1,2,1,3,0,0,0",central_full,794,0
"1,1,2,3,0,1,3",bilateral_3pass,932,855
"1,1,2,3,0,1,3",clearinghouse,932,0
"1,1,2,3,0,1,3",public_pool,932,0
"1,1,2,3,0,1,3",subsidized_catch_up,932,77
"1,1,2,3,0,1,3",central_cap2,932,0
"1,1,2,3,0,1,3",equity_cap2,932,0
"1,1,2,3,0,1,3",central_full,932,0
"1,1,1,3,1,1,0",bilateral_3pass,466,466
"1,1,1,3,1,1,0",clearinghouse,466,0
"1,1,1,3,1,1,0",public_pool,466,0
"1,1,1,3,1,1,0",subsidized_catch_up,466,0
"1,1,1,3,1,1,0",central_cap2,466,0
"1,1,1,3,1,1,0",equity_cap2,466,0
"1,1,1,3,1,1,0",central_full,466,0
"2,2,1,3,2,1,0",bilateral_3pass,932,68
"2,2,1,3,2,1,0",clearinghouse,932,90
"2,2,1,3,2,1,0",public_pool,932,24
"2,2,1,3,2,1,0",subsidized_catch_up,932,704
"2,2,1,3,2,1,0",central_cap2,932,19
"2,2,1,3,2,1,0",equity_cap2,932,27
"2,2,1,3,2,1,0",central_full,932,0
"2,1,1,2,2,1,1",bilateral_3pass,110,104
"2,1,1,2,2,1,1",clearinghouse,110,6
"2,1,1,2,2,1,1",public_pool,110,0
"2,1,1,2,2,1,1",subsidized_catch_up,110,0
"2,1,1,2,2,1,1",central_cap2,110,0
"2,1,1,2,2,1,1",equity_cap2,110,0
"2,1,1,2,2,1,1",central_full,110,0
"2,1,1,3,2,2,0",bilateral_3pass,179,179
"2,1,1,3,2,2,0",clearinghouse,179,0
"2,1,1,3,2,2,0",public_pool,179,0
"2,1,1,3,2,2,0",subsidized_catch_up,179,0
"2,1,1,3,2,2,0",central_cap2,179,0
"2,1,1,3,2,2,0",equity_cap2,179,0
"2,1,1,3,2,2,0",central_full,179,0
"2,2,1,2,2,1,0",bilateral_3pass,621,67
"2,2,1,2,2,1,0",clearinghouse,621,63
"2,2,1,2,2,1,0",public_pool,621,12
"2,2,1,2,2,1,0",subsidized_catch_up,621,458
"2,2,1,2,2,1,0",central_cap2,621,12
"2,2,1,2,2,1,0",equity_cap2,621,9
"2,2,1,2,2,1,0",central_full,621,0
"2,2,2,1,2,1,0",bilateral_3pass,452,41
"2,2,2,1,2,1,0",clearinghouse,452,27
"2,2,2,1,2,1,0",public_pool,452,11
"2,2,2,1,2,1,0",subsidized_catch_up,452,355
"2,2,2,1,2,1,0",central_cap2,452,10
"2,2,2,1,2,1,0",equity_cap2,452,8
"2,2,2,1,2,1,0",central_full,452,0
"3,2,1,3,2,1,1",bilateral_3pass,145,12
"3,2,1,3,2,1,1",clearinghouse,145,129
"3,2,1,3,2,1,1",public_pool,145,0
"3,2,1,3,2,1,1",subsidized_catch_up,145,2
"3,2,1,3,2,1,1",central_cap2,145,1
"3,2,1,3,2,1,1",equity_cap2,145,1
"3,2,1,3,2,1,1",central_full,145,0
"3,1,2,1,2,1,3",bilateral_3pass,181,165
"3,1,2,1,2,1,3",clearinghouse,181,0
"3,1,2,1,2,1,3",public_pool,181,0
"3,1,2,1,2,1,3",subsidized_catch_up,181,16
"3,1,2,1,2,1,3",central_cap2,181,0
"3,1,2,1,2,1,3",equity_cap2,181,0
"3,1,2,1,2,1,3",central_full,181,0
"3,1,1,3,2,1,0",bilateral_3pass,707,707
"3,1,1,3,2,1,0",clearinghouse,707,0
"3,1,1,3,2,1,0",public_pool,707,0
"3,1,1,3,2,1,0",subsidized_catch_up,707,0
"3,1,1,3,2,1,0",central_cap2,707,0
"3,1,1,3,2,1,0",equity_cap2,707,0
"3,1,1,3,2,1,0",central_full,707,0
"3,2,1,3,2,1,0",bilateral_3pass,2295,1753
"3,2,1,3,2,1,0",clearinghouse,2295,212
"3,2,1,3,2,1,0",public_pool,2295,52
"3,2,1,3,2,1,0",subsidized_catch_up,2295,183
"3,2,1,3,2,1,0",central_cap2,2295,50
"3,2,1,3,2,1,0",equity_cap2,2295,45
"3,2,1,3,2,1,0",central_full,2295,0
"3,1,1,3,2,1,3",bilateral_3pass,557,500
"3,1,1,3,2,1,3",clearinghouse,557,0
"3,1,1,3,2,1,3",public_pool,557,0
