episode,seed,scenario,scenario_label,change_round,epsilon,total_reward,mean_absolute_td_error,final_total_score,final_mean_score,final_min_score,bottom_two_mean_score,final_max_score,final_score_gap,final_welfare,final_coordination_capacity,cumulative_capacity_cost,cumulative_workload_units,rounds_bilateral_3pass,rounds_clearinghouse,rounds_public_pool,rounds_subsidized_catch_up,rounds_central_cap2,rounds_equity_cap2,rounds_central_full
,500000,need_based,Need-based,,0.0,24.65,,136,27.2,17,18.0,41,24,24.65,3,25,174,12,3,0,3,0,1,1
,500000,cooperative,Cooperative,,0.0,20.549999999999997,,122,24.4,9,11.5,39,30,20.549999999999997,4,24,219,12,4,1,2,0,0,1
,500000,hoarding,Hoarding,,0.0,20.299999999999997,,122,24.4,8,10.0,46,38,20.299999999999997,4,24,91,12,3,0,3,0,1,1
,500000,mixed,Mixed,,0.0,19.35,,119,23.8,6,12.0,54,48,19.35,1,27,134,12,3,1,2,0,1,1
,500000,need_based_to_competitive,Need-based → competitive,10.0,0.0,19.950000000000003,,118,23.6,9,11.0,49,40,19.950000000000003,4,24,125,13,1,0,3,0,1,2
,500000,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,16.5,,100,20.0,6,11.5,38,32,16.5,3,25,112,12,3,1,3,0,0,1
,500001,need_based,Need-based,,0.0,30.25,,160,32.0,25,25.5,43,18,30.25,4,24,158,13,3,0,2,0,0,2
,500001,cooperative,Cooperative,,0.0,20.1,,124,24.8,6,15.5,36,30,20.1,2,26,189,12,2,1,4,0,1,0
,500001,hoarding,Hoarding,,0.0,15.299999999999999,,97,19.4,3,8.5,30,27,15.299999999999999,2,26,50,12,2,0,4,0,1,1
,500001,mixed,Mixed,,0.0,20.9,,116,23.2,14,18.0,33,19,20.9,2,26,115,13,3,0,1,0,1,2
,500001,need_based_to_competitive,Need-based → competitive,10.0,0.0,23.6,,134,26.8,14,16.5,44,30,23.6,2,26,116,13,2,0,2,0,0,3
,500001,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,19.700000000000003,,113,22.6,11,14.0,34,23,19.700000000000003,3,25,126,13,1,0,4,0,1,1
,500002,need_based,Need-based,,0.0,17.75,,95,19.0,14,14.0,33,19,17.75,4,24,206,11,2,2,5,0,0,0
,500002,cooperative,Cooperative,,0.0,21.0,,130,26.0,6,17.0,36,30,21.0,4,24,208,12,4,1,3,0,0,0
,500002,hoarding,Hoarding,,0.0,17.549999999999997,,107,21.4,6,7.5,43,37,17.549999999999997,3,25,89,11,4,1,2,2,0,0
,500002,mixed,Mixed,,0.0,20.6,,114,22.8,14,15.5,33,19,20.6,7,21,101,14,0,1,2,2,0,1
,500002,need_based_to_competitive,Need-based → competitive,10.0,0.0,20.9,,111,22.2,17,17.0,36,19,20.9,5,23,103,13,1,1,4,0,0,1
,500002,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,19.700000000000003,,108,21.6,14,15.5,28,14,19.700000000000003,1,27,149,11,4,1,4,0,0,0
,500003,need_based,Need-based,,0.0,19.4,,111,22.2,11,14.0,33,22,19.4,3,25,206,12,3,1,2,0,1,1
,500003,cooperative,Cooperative,,0.0,21.65,,126,25.2,11,15.0,47,36,21.65,4,24,183,13,1,0,3,0,1,2
,500003,hoarding,Hoarding,,0.0,16.200000000000003,,93,18.6,9,11.5,39,30,16.200000000000003,2,26,65,11,2,0,5,0,1,1
,500003,mixed,Mixed,,0.0,16.5,,100,20.0,6,9.0,34,28,16.5,3,25,129,12,2,0,4,0,1,1
,500003,need_based_to_competitive,Need-based → competitive,10.0,0.0,11.850000000000001,,69,13.8,6,7.5,23,17,11.850000000000001,2,26,80,11,4,0,3,0,1,1
,500003,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,14.700000000000001,,88,17.6,6,6.0,34,28,14.700000000000001,2,26,101,11,2,0,4,0,1,2
,500004,need_based,Need-based,,0.0,18.65,,101,20.2,14,16.5,25,11,18.65,3,25,106,11,2,0,6,0,0,1
,500004,cooperative,Cooperative,,0.0,21.35,,119,23.8,14,15.5,39,25,21.35,2,26,205,11,4,1,3,1,0,0
,500004,hoarding,Hoarding,,0.0,20.9,,116,23.2,14,18.0,33,19,20.9,2,26,71,12,1,0,5,0,1,1
,500004,mixed,Mixed,,0.0,17.75,,100,20.0,11,15.5,25,14,17.75,2,26,122,12,3,0,2,0,1,2
,500004,need_based_to_competitive,Need-based → competitive,10.0,0.0,23.299999999999997,,122,24.4,20,21.0,28,8,23.299999999999997,3,25,111,12,0,1,5,0,0,2
,500004,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,16.200000000000003,,98,19.6,6,9.0,33,27,16.200000000000003,3,25,137,11,5,0,3,1,0,0
,500005,need_based,Need-based,,0.0,20.9,,121,24.2,11,14.0,41,30,20.9,5,23,107,12,3,1,4,0,0,0
,500005,cooperative,Cooperative,,0.0,12.899999999999999,,81,16.2,3,7.0,25,22,12.899999999999999,3,25,125,11,2,1,4,0,2,0
,500005,hoarding,Hoarding,,0.0,18.450000000000003,,108,21.6,9,10.0,35,26,18.450000000000003,3,25,80,11,0,2,6,0,1,0
,500005,mixed,Mixed,,0.0,14.549999999999999,,92,18.4,3,7.0,33,30,14.549999999999999,3,25,81,11,3,1,5,0,0,0
,500005,need_based_to_competitive,Need-based → competitive,10.0,0.0,11.55,,72,14.4,3,7.0,22,19,11.55,3,25,102,11,5,1,3,0,0,0
,500005,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,13.049999999999999,,82,16.4,3,9.0,25,22,13.049999999999999,2,26,94,12,3,1,2,0,2,0
,500006,need_based,Need-based,,0.0,30.6,,159,31.8,27,28.0,39,12,30.6,3,25,133,12,2,1,4,0,1,0
,500006,cooperative,Cooperative,,0.0,26.200000000000003,,143,28.6,19,19.5,45,26,26.200000000000003,3,22,195,12,2,2,4,0,0,0
,500006,hoarding,Hoarding,,0.0,20.450000000000003,,113,22.6,14,14.0,36,22,20.450000000000003,2,26,98,11,1,1,5,2,0,0
,500006,mixed,Mixed,,0.0,15.950000000000001,,103,20.6,2,9.5,36,34,15.950000000000001,1,27,124,10,4,1,4,0,0,1
,500006,need_based_to_competitive,Need-based → competitive,10.0,0.0,20.6,,119,23.8,11,12.5,36,25,20.6,4,24,94,12,2,1,5,0,0,0
,500006,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,20.6,,119,23.8,11,12.5,44,33,20.6,4,24,107,11,4,2,3,0,0,0
,500007,need_based,Need-based,,0.0,25.549999999999997,,137,27.4,20,21.0,36,16,25.549999999999997,2,26,152,13,2,1,2,1,0,1
,500007,cooperative,Cooperative,,0.0,20.9,,116,23.2,14,14.0,40,26,20.9,4,24,201,12,3,2,3,0,0,0
,500007,hoarding,Hoarding,,0.0,18.65,,101,20.2,14,14.0,36,22,18.65,3,25,77,11,4,1,3,0,1,0
,500007,mixed,Mixed,,0.0,23.75,,135,27.0,14,15.5,38,24,23.75,4,24,149,13,1,2,3,0,0,1
,500007,need_based_to_competitive,Need-based → competitive,10.0,0.0,17.4,,101,20.2,9,11.5,36,27,17.4,2,26,121,12,2,1,4,0,0,1
,500007,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,16.35,,99,19.8,6,8.5,34,28,16.35,4,24,118,11,4,1,4,0,0,0
,500008,need_based,Need-based,,0.0,21.049999999999997,,117,23.4,14,14.0,36,22,21.049999999999997,2,26,122,12,2,1,3,0,0,2
,500008,cooperative,Cooperative,,0.0,27.85,,154,30.8,19,22.0,43,24,27.85,6,22,222,13,2,2,2,0,0,1
,500008,hoarding,Hoarding,,0.0,20.0,,110,22.0,14,15.5,30,16,20.0,6,22,94,12,3,1,3,1,0,0
,500008,mixed,Mixed,,0.0,21.15,,121,24.2,12,13.0,40,28,21.15,4,24,118,12,2,1,3,1,1,0
,500008,need_based_to_competitive,Need-based → competitive,10.0,0.0,20.15,,111,22.2,14,14.0,35,21,20.15,6,22,90,13,0,2,4,0,0,1
,500008,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,23.75,,130,26.0,17,18.0,34,17,23.75,6,22,131,12,1,3,3,0,0,1
,500009,need_based,Need-based,,0.0,25.1,,144,28.8,14,22.0,38,24,25.1,4,24,143,12,3,1,4,0,0,0
,500009,cooperative,Cooperative,,0.0,22.85,,134,26.8,11,12.5,49,38,22.85,2,26,240,11,2,3,4,0,0,0
,500009,hoarding,Hoarding,,0.0,16.25,,90,18.0,11,14.5,22,11,16.25,2,26,87,11,1,1,6,0,0,1
,500009,mixed,Mixed,,0.0,14.600000000000001,,89,17.8,5,8.0,25,20,14.600000000000001,1,27,111,11,4,1,3,0,0,1
,500009,need_based_to_competitive,Need-based → competitive,10.0,0.0,23.299999999999997,,127,25.4,17,17.0,38,21,23.299999999999997,2,26,111,12,4,1,2,0,1,0
,500009,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,15.299999999999999,,92,18.4,6,8.5,36,30,15.299999999999999,2,26,165,11,0,3,5,0,1,0
,500010,need_based,Need-based,,0.0,18.15,,111,22.2,6,10.0,41,35,18.15,3,25,125,12,1,1,4,0,1,1
,500010,cooperative,Cooperative,,0.0,25.4,,141,28.2,17,18.5,38,21,25.4,4,24,212,12,2,2,3,1,0,0
,500010,hoarding,Hoarding,,0.0,19.799999999999997,,117,23.4,9,11.5,38,29,19.799999999999997,3,25,65,11,2,2,4,1,0,0
,500010,mixed,Mixed,,0.0,24.35,,139,27.8,14,18.0,44,30,24.35,3,25,96,12,3,1,3,1,0,0
,500010,need_based_to_competitive,Need-based → competitive,10.0,0.0,17.0,,105,21.0,5,11.0,38,33,17.0,1,27,97,11,3,1,4,0,0,1
,500010,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,20.1,,119,23.8,9,9.0,44,35,20.1,2,26,113,11,3,2,3,0,0,1
,500011,need_based,Need-based,,0.0,34.650000000000006,,181,36.2,30,32.0,44,14,34.650000000000006,6,22,294,13,0,2,4,1,0,0
,500011,cooperative,Cooperative,,0.0,19.549999999999997,,107,21.4,14,15.5,32,18,19.549999999999997,6,22,152,13,2,0,2,2,0,1
,500011,hoarding,Hoarding,,0.0,17.25,,105,21.0,6,12.5,31,25,17.25,2,26,64,12,3,0,3,0,1,1
,500011,mixed,Mixed,,0.0,17.299999999999997,,92,18.4,14,15.5,22,8,17.299999999999997,5,23,89,12,0,0,6,0,1,1
,500011,need_based_to_competitive,Need-based → competitive,10.0,0.0,28.9,,156,31.2,22,24.5,39,17,28.9,3,25,179,12,1,1,4,2,0,0
,500011,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,18.0,,105,21.0,9,13.5,30,21,18.0,5,23,103,12,2,0,4,2,0,0
,500012,need_based,Need-based,,0.0,21.9,,131,26.2,9,17.0,39,30,21.9,2,26,238,11,4,2,3,0,0,0
,500012,cooperative,Cooperative,,0.0,23.299999999999997,,132,26.4,14,15.5,38,24,23.299999999999997,2,26,171,11,4,2,3,0,0,0
,500012,hoarding,Hoarding,,0.0,21.35,,114,22.8,17,17.0,33,16,21.35,1,27,77,10,4,1,4,1,0,0
,500012,mixed,Mixed,,0.0,23.799999999999997,,127,25.4,19,21.5,33,14,23.799999999999997,3,25,122,12,2,1,4,1,0,0
,500012,need_based_to_competitive,Need-based → competitive,10.0,0.0,20.4,,121,24.2,9,15.5,35,26,20.4,2,26,122,11,5,1,3,0,0,0
,500012,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,16.65,,96,19.2,9,11.5,33,24,16.65,3,25,84,10,5,2,3,0,0,0
,500013,need_based,Need-based,,0.0,33.349999999999994,,179,35.8,26,29.5,47,21,33.349999999999994,2,26,172,11,5,1,2,1,0,0
,500013,cooperative,Cooperative,,0.0,31.200000000000003,,163,32.6,27,28.5,39,12,31.200000000000003,6,22,229,12,3,1,4,0,0,0
,500013,hoarding,Hoarding,,0.0,19.35,,114,22.8,9,15.0,31,22,19.35,2,26,46,11,2,1,4,2,0,0
,500013,mixed,Mixed,,0.0,22.25,,125,25.0,14,15.5,38,24,22.25,4,24,140,12,5,1,1,0,0,1
,500013,need_based_to_competitive,Need-based → competitive,10.0,0.0,28.400000000000002,,161,32.2,17,22.5,47,30,28.400000000000002,2,26,125,11,5,1,2,0,1,0
,500013,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,27.25,,140,28.0,25,25.0,36,11,27.25,3,25,129,11,1,1,6,1,0,0
,500014,need_based,Need-based,,0.0,22.5,,125,25.0,15,18.5,31,16,22.5,6,22,128,13,4,0,2,0,0,1
,500014,cooperative,Cooperative,,0.0,18.200000000000003,,103,20.6,11,13.0,33,22,18.200000000000003,3,25,198,12,4,0,2,1,1,0
,500014,hoarding,Hoarding,,0.0,14.100000000000001,,79,15.8,9,11.5,25,16,14.100000000000001,3,25,39,12,2,0,4,0,1,1
,500014,mixed,Mixed,,0.0,16.950000000000003,,103,20.6,6,11.5,41,35,16.950000000000003,5,23,109,13,3,0,3,0,0,1
,500014,need_based_to_competitive,Need-based → competitive,10.0,0.0,21.049999999999997,,117,23.4,14,15.5,34,20,21.049999999999997,4,24,93,12,3,0,4,0,0,1
,500014,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,12.899999999999999,,76,15.2,6,10.0,22,16,12.899999999999999,3,25,111,12,3,0,3,1,1,0
,500015,need_based,Need-based,,0.0,23.9,,131,26.2,17,18.5,34,17,23.9,6,22,154,13,2,1,3,0,1,0
,500015,cooperative,Cooperative,,0.0,16.4,,101,20.2,5,11.5,30,25,16.4,3,25,194,12,4,2,2,0,0,0
,500015,hoarding,Hoarding,,0.0,20.1,,124,24.8,6,10.5,45,39,20.1,4,24,57,12,1,1,4,1,1,0
,500015,mixed,Mixed,,0.0,15.299999999999999,,92,18.4,6,10.0,34,28,15.299999999999999,3,25,73,12,2,1,3,2,0,0
,500015,need_based_to_competitive,Need-based → competitive,10.0,0.0,19.200000000000003,,108,21.6,12,12.5,31,19,19.200000000000003,4,24,80,11,2,3,4,0,0,0
,500015,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,14.700000000000001,,88,17.6,6,6.0,30,24,14.700000000000001,3,25,103,12,2,1,5,0,0,0
,500016,need_based,Need-based,,0.0,27.200000000000003,,158,31.6,14,20.5,42,28,27.200000000000003,4,24,124,13,1,0,3,0,1,2
,500016,cooperative,Cooperative,,0.0,25.0,,145,29.0,13,15.0,39,26,25.0,3,25,164,11,4,0,4,0,1,0
,500016,hoarding,Hoarding,,0.0,19.35,,119,23.8,6,13.0,38,32,19.35,3,25,60,12,4,0,1,0,1,2
,500016,mixed,Mixed,,0.0,21.6,,124,24.8,12,14.5,40,28,21.6,4,24,121,12,1,0,5,0,1,1
,500016,need_based_to_competitive,Need-based → competitive,10.0,0.0,21.9,,136,27.2,6,15.5,44,38,21.9,3,25,99,12,2,0,3,0,1,2
,500016,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,23.6,,134,26.8,14,16.0,38,24,23.6,2,26,102,10,4,0,5,0,1,0
,500017,need_based,Need-based,,0.0,21.049999999999997,,117,23.4,14,15.5,34,20,21.049999999999997,3,25,174,11,3,1,5,0,0,0
,500017,cooperative,Cooperative,,0.0,18.85,,104,20.8,13,13.5,30,17,18.85,4,24,180,12,2,2,4,0,0,0
,500017,hoarding,Hoarding,,0.0,18.9,,101,20.2,15,16.0,28,13,18.9,3,25,62,11,1,1,6,0,0,1
,500017,mixed,Mixed,,0.0,20.299999999999997,,107,21.4,17,18.5,25,8,20.299999999999997,3,25,113,11,3,1,5,0,0,0
,500017,need_based_to_competitive,Need-based → competitive,10.0,0.0,16.65,,96,19.2,9,10.5,36,27,16.65,2,26,111,10,4,1,5,0,0,0
,500017,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,17.0,,90,18.0,14,15.5,20,6,17.0,3,25,133,12,1,2,4,0,0,1
,500018,need_based,Need-based,,0.0,23.299999999999997,,127,25.4,17,19.5,36,19,23.299999999999997,2,26,242,11,3,2,4,0,0,0
