episode,seed,scenario,scenario_label,change_round,epsilon,total_reward,mean_absolute_td_error,final_total_score,final_mean_score,final_min_score,bottom_two_mean_score,final_max_score,final_score_gap,final_welfare,final_coordination_capacity,cumulative_capacity_cost,cumulative_workload_units,rounds_bilateral_3pass,rounds_clearinghouse,rounds_public_pool,rounds_subsidized_catch_up,rounds_central_cap2,rounds_equity_cap2,rounds_central_full
0,100000,need_based,Need-based,,1.0,23.450000000000003,1.1725,133,26.6,14,17.0,37,23,23.450000000000003,2,26,145,11,3,1,5,0,0,0
1,100001,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9998203620541839,19.1,0.9550000000000001,104,20.8,14,14.0,36,22,19.1,2,26,156,12,3,1,3,0,1,0
2,100002,cooperative,Cooperative,,0.9996407407438215,22.35,1.13375,129,25.8,12,16.0,38,26,22.35,4,24,133,10,5,0,4,1,0,0
3,100003,need_based,Need-based,,0.9994611360689124,27.799999999999997,1.42,157,31.4,17,21.0,39,22,27.799999999999997,3,25,156,12,2,0,4,2,0,0
4,100004,mixed,Mixed,,0.9992815480294572,24.549999999999997,1.2274999999999998,127,25.4,22,22.0,34,12,24.549999999999997,1,27,71,10,5,0,4,0,0,1
5,100005,need_based,Need-based,,0.9991019766254556,26.65,1.3456249999999998,141,28.2,22,25.0,32,10,26.65,1,27,106,10,4,1,4,0,1,0
6,100006,need_based_to_competitive,Need-based → competitive,10.0,0.9989224218569075,23.0,1.19375,130,26.0,14,18.0,39,25,23.0,3,25,99,12,2,0,3,2,1,0
7,100007,need_based,Need-based,,0.9987428837238129,26.0,1.4315167114992229,140,28.0,20,21.0,37,17,26.0,2,26,115,12,4,0,1,0,1,2
8,100008,need_based,Need-based,,0.9985633622261721,23.15,1.1649999999999998,126,25.2,17,18.0,30,13,23.15,1,27,138,12,2,1,2,1,2,0
9,100009,need_based,Need-based,,0.998383857363985,27.25,1.4416432516666897,150,30.0,19,20.5,49,30,27.25,2,26,180,12,3,2,2,1,0,0
10,100010,mixed,Mixed,,0.9982043691372514,23.15,1.2540189293730735,126,25.2,17,17.0,42,25,23.15,2,26,113,9,4,1,5,1,0,0
11,100011,cooperative,Cooperative,,0.9980248975459712,21.6,1.1732135866999278,134,26.8,6,15.5,41,35,21.6,2,26,199,12,3,1,3,1,0,0
12,100012,need_based,Need-based,,0.9978454425901448,27.85,1.4862673779805928,149,29.8,22,23.5,42,20,27.85,1,27,147,12,1,1,2,3,1,0
13,100013,need_based,Need-based,,0.9976660042697721,25.549999999999997,1.3582522814583364,152,30.4,11,18.0,49,38,25.549999999999997,2,26,131,10,1,0,8,0,1,0
14,100014,mixed,Mixed,,0.997486582584853,25.299999999999997,1.3072489684815938,132,26.4,22,22.0,35,13,25.299999999999997,1,27,158,12,1,2,3,1,1,0
15,100015,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9973071775353873,16.549999999999997,0.8756916260736236,92,18.4,11,14.0,25,14,16.549999999999997,2,25,111,12,2,3,0,2,1,0
16,100016,need_based_to_competitive,Need-based → competitive,10.0,0.9971277891213755,19.35,0.9970450487116513,114,22.8,9,15.5,30,21,19.35,1,27,78,10,2,0,6,1,0,1
17,100017,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.996948417342817,14.700000000000001,0.831834927684362,88,17.6,6,10.0,36,30,14.700000000000001,1,27,141,12,4,0,1,2,1,0
18,100018,hoarding,Hoarding,,0.9967690621997124,17.299999999999997,0.9201499224184838,97,19.4,11,13.5,27,16,17.299999999999997,2,26,73,11,3,2,2,1,1,0
19,100019,hoarding,Hoarding,,0.9965897236920613,14.149999999999999,0.8175885359165591,81,16.2,8,10.0,30,22,14.149999999999999,1,27,60,9,6,1,3,1,0,0
20,100020,hoarding,Hoarding,,0.9964104018198637,14.25,0.9177162796727076,85,17.0,6,6.0,26,20,14.25,3,24,82,10,5,3,1,1,0,0
21,100021,need_based,Need-based,,0.9962310965831198,38.5,2.052541967889193,210,42.0,28,31.0,56,28,38.5,4,24,183,13,2,0,2,0,1,2
22,100022,need_based,Need-based,,0.9960518079818296,26.200000000000003,1.4482848312421162,138,27.6,22,22.0,35,13,26.200000000000003,3,25,168,12,3,1,3,1,0,0
23,100023,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9958725360159929,18.299999999999997,1.0579230695210582,102,20.4,12,13.0,30,18,18.299999999999997,2,26,127,11,4,1,2,1,1,0
24,100024,need_based,Need-based,,0.9956932806856097,26.15,1.3428333615081842,146,29.2,17,20.5,40,23,26.15,2,26,167,11,1,1,6,0,0,1
25,100025,mixed,Mixed,,0.9955140419906803,22.5,1.1972166929760721,130,26.0,12,19.5,33,21,22.5,1,27,141,11,3,0,3,0,3,0
26,100026,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.9953348199312045,21.5,1.165670138517886,125,25.0,11,12.5,47,36,21.5,4,24,130,11,5,0,3,0,1,0
27,100027,hoarding,Hoarding,,0.9951556145071824,12.5,0.8091829054566364,75,15.0,5,5.5,36,31,12.5,1,27,77,9,7,2,1,0,0,1
28,100028,need_based,Need-based,,0.9949764257186136,27.5,1.482955984134533,155,31.0,17,23.5,43,26,27.5,2,26,134,11,4,0,4,0,1,0
