scenario,scenario_label,round,mean_capacity_before,mean_capacity_after,mean_capacity_cost
cooperative,Cooperative,0,8.0,5.1,3.9
cooperative,Cooperative,1,5.1,3.21,2.89
cooperative,Cooperative,2,3.21,1.99,2.22
cooperative,Cooperative,3,1.99,2.43,0.56
cooperative,Cooperative,4,2.43,2.74,0.69
cooperative,Cooperative,5,2.74,3.14,0.6
cooperative,Cooperative,6,3.14,3.71,0.43
cooperative,Cooperative,7,3.71,4.16,0.55
cooperative,Cooperative,8,4.16,3.94,1.22
cooperative,Cooperative,9,3.94,3.67,1.27
cooperative,Cooperative,10,3.67,3.59,1.08
cooperative,Cooperative,11,3.59,3.43,1.16
cooperative,Cooperative,12,3.43,3.57,0.86
cooperative,Cooperative,13,3.57,3.45,1.12
cooperative,Cooperative,14,3.45,3.37,1.08
cooperative,Cooperative,15,3.37,3.44,0.92
cooperative,Cooperative,16,3.44,3.5,0.93
cooperative,Cooperative,17,3.5,3.6,0.89
cooperative,Cooperative,18,3.6,3.52,1.08
cooperative,Cooperative,19,3.52,3.58,0.93
cooperative_to_hoarding,Cooperative → hoarding,0,8.0,5.1,3.9
cooperative_to_hoarding,Cooperative → hoarding,1,5.1,3.21,2.89
cooperative_to_hoarding,Cooperative → hoarding,2,3.21,1.99,2.22
cooperative_to_hoarding,Cooperative → hoarding,3,1.99,2.43,0.56
cooperative_to_hoarding,Cooperative → hoarding,4,2.43,2.74,0.69
cooperative_to_hoarding,Cooperative → hoarding,5,2.74,3.14,0.6
cooperative_to_hoarding,Cooperative → hoarding,6,3.14,3.71,0.43
cooperative_to_hoarding,Cooperative → hoarding,7,3.71,4.16,0.55
cooperative_to_hoarding,Cooperative → hoarding,8,4.16,3.94,1.22
cooperative_to_hoarding,Cooperative → hoarding,9,3.94,3.67,1.27
cooperative_to_hoarding,Cooperative → hoarding,10,3.67,3.42,1.25
cooperative_to_hoarding,Cooperative → hoarding,11,3.42,3.3,1.12
cooperative_to_hoarding,Cooperative → hoarding,12,3.3,3.3,0.99
cooperative_to_hoarding,Cooperative → hoarding,13,3.3,3.2,1.09
cooperative_to_hoarding,Cooperative → hoarding,14,3.2,2.92,1.28
cooperative_to_hoarding,Cooperative → hoarding,15,2.92,3.07,0.85
cooperative_to_hoarding,Cooperative → hoarding,16,3.07,3.07,1.0
cooperative_to_hoarding,Cooperative → hoarding,17,3.07,2.89,1.18
cooperative_to_hoarding,Cooperative → hoarding,18,2.89,3.11,0.78
cooperative_to_hoarding,Cooperative → hoarding,19,3.11,2.89,1.22
