continuation_policy,comparison,mean_difference,base_game_clustered_ci95_low,base_game_clustered_ci95_high,resolved_share,resolved_count,checkpoints,base_games,q_equals_selection_best_share
learned_q,q_chosen_minus_bilateral,0.11574074074074045,-0.5148148148148152,0.698148148148147,0.3148148148148148,17,54,18,0.5740740740740741
learned_q,selected_best_minus_bilateral,1.328703703703704,0.8110879629629631,1.8694444444444445,0.4444444444444444,24,54,18,0.5740740740740741
learned_q,selected_best_minus_q_chosen,1.2129629629629632,0.594444444444445,1.9778240740740742,0.4074074074074074,22,54,18,0.5740740740740741
learned_q,selected_best_minus_selected_second,0.9055555555555559,0.5592592592592595,1.2990740740740743,0.5925925925925926,32,54,18,0.5740740740740741
permanent_bilateral_3pass,q_chosen_minus_bilateral,-0.013888888888888791,-0.7175925925925924,0.550925925925926,0.2962962962962963,16,54,18,0.6111111111111112
permanent_bilateral_3pass,selected_best_minus_bilateral,1.2694444444444446,0.8268518518518521,1.7481481481481482,0.42592592592592593,23,54,18,0.6111111111111112
permanent_bilateral_3pass,selected_best_minus_q_chosen,1.2833333333333332,0.6953703703703702,1.9176157407407406,0.37037037037037035,20,54,18,0.6111111111111112
permanent_bilateral_3pass,selected_best_minus_selected_second,0.988888888888889,0.7110879629629627,1.2694444444444448,0.5,27,54,18,0.6111111111111112
random_feasible,q_chosen_minus_bilateral,-0.04236111111111112,-0.33722685185185186,0.22625347222222197,0.0,0,54,18,0.5185185185185185
random_feasible,selected_best_minus_bilateral,0.6531481481481483,0.36605092592592603,0.9468564814814815,0.0,0,54,18,0.5185185185185185
random_feasible,selected_best_minus_q_chosen,0.6955092592592592,0.39647453703703694,1.0933807870370371,0.018518518518518517,1,54,18,0.5185185185185185
random_feasible,selected_best_minus_selected_second,0.5938425925925926,0.34773032407407417,0.8617766203703701,0.0,0,54,18,0.5185185185185185
