branch_state_id,base_game_id,seed,scenario,scenario_label,round,q_chosen_action,feasible_actions,n_feasible_actions
1,1,700000,need_based,Need-based,3,bilateral_3pass,bilateral_3pass,1
2,1,700000,need_based,Need-based,10,clearinghouse,bilateral_3pass|clearinghouse|subsidized_catch_up,3
3,1,700000,need_based,Need-based,16,central_cap2,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2|central_full,7
4,2,700001,need_based,Need-based,3,bilateral_3pass,bilateral_3pass,1
5,2,700001,need_based,Need-based,10,bilateral_3pass,bilateral_3pass|clearinghouse|subsidized_catch_up,3
6,2,700001,need_based,Need-based,16,bilateral_3pass,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2,6
7,3,700002,need_based,Need-based,3,subsidized_catch_up,bilateral_3pass|clearinghouse|subsidized_catch_up,3
8,3,700002,need_based,Need-based,10,bilateral_3pass,bilateral_3pass,1
9,3,700002,need_based,Need-based,16,bilateral_3pass,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2,6
10,4,700100,cooperative,Cooperative,3,bilateral_3pass,bilateral_3pass|clearinghouse,2
11,4,700100,cooperative,Cooperative,10,clearinghouse,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2,6
12,4,700100,cooperative,Cooperative,16,bilateral_3pass,bilateral_3pass,1
13,5,700101,cooperative,Cooperative,3,bilateral_3pass,bilateral_3pass,1
14,5,700101,cooperative,Cooperative,10,bilateral_3pass,bilateral_3pass,1
15,5,700101,cooperative,Cooperative,16,bilateral_3pass,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2|central_full,7
16,6,700102,cooperative,Cooperative,3,bilateral_3pass,bilateral_3pass|clearinghouse,2
17,6,700102,cooperative,Cooperative,10,central_full,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2|central_full,7
18,6,700102,cooperative,Cooperative,16,bilateral_3pass,bilateral_3pass,1
19,7,700200,hoarding,Hoarding,3,bilateral_3pass,bilateral_3pass|subsidized_catch_up,2
20,7,700200,hoarding,Hoarding,10,subsidized_catch_up,bilateral_3pass|clearinghouse|subsidized_catch_up,3
21,7,700200,hoarding,Hoarding,16,bilateral_3pass,bilateral_3pass|clearinghouse|subsidized_catch_up,3
22,8,700201,hoarding,Hoarding,3,bilateral_3pass,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2,6
23,8,700201,hoarding,Hoarding,10,subsidized_catch_up,bilateral_3pass|clearinghouse|subsidized_catch_up,3
24,8,700201,hoarding,Hoarding,16,bilateral_3pass,bilateral_3pass|clearinghouse|public_pool|subsidized_catch_up|central_cap2|equity_cap2,6
