seed,sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,final_idle_infrastructure,cumulative_trades_executed
0,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,56,2,35,12,0
1,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,28,2,13,11,0
2,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,22,2,7,12,0
3,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,12,0,6,14,0
4,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,21,3,3,11,0
5,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,13,1,5,5,0
6,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,52,3,17,8,0
7,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,36,3,8,10,0
8,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,36,0,15,11,0
9,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,39,3,10,11,0
10,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,25,2,7,22,0
11,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,34,3,12,26,0
12,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,44,1,25,11,0
13,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,30,0,20,16,0
14,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,18,0,9,15,0
15,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,27,1,10,14,0
16,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,37,0,26,16,0
17,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,39,1,19,22,0
18,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,44,3,23,12,0
19,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,34,2,11,16,0
20,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,19,2,4,16,0
21,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,31,2,10,14,0
22,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,28,2,12,21,0
23,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,27,2,8,20,0
24,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,33,3,15,9,0
25,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,33,2,15,14,0
26,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,25,1,8,13,0
27,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,23,1,6,19,0
28,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,33,1,16,20,0
29,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,36,2,21,17,0
30,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,45,1,16,7,0
31,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,45,3,13,6,0
32,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,25,2,7,15,0
33,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,42,1,30,19,0
34,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,37,3,11,17,0
35,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,28,1,8,11,0
36,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,24,2,7,14,0
37,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,21,2,7,14,0
38,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,23,3,3,7,0
39,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,32,1,13,16,0
40,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,34,1,14,9,0
41,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,35,2,19,16,0
42,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,27,3,3,10,0
43,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,36,2,19,20,0
44,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,40,3,19,15,0
45,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,31,2,14,17,0
46,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,32,1,20,14,0
47,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,20,2,4,19,0
48,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,22,1,8,12,0
49,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,47,3,14,16,0
50,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,29,2,10,13,0
51,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,29,2,12,28,0
52,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,24,1,11,16,0
53,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,25,3,5,23,0
54,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,18,2,4,27,0
55,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,17,1,5,18,0
56,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,35,2,16,18,0
57,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,34,3,13,22,0
58,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,16,0,6,9,0
59,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,29,2,13,13,0
60,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,22,3,3,23,0
61,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,25,3,4,15,0
62,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,30,1,20,23,0
63,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,18,1,5,7,0
64,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,40,1,23,16,0
65,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,22,3,3,21,0
66,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,35,2,13,16,0
67,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,33,2,10,20,0
68,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,36,3,9,15,0
69,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,30,1,11,19,0
70,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,30,3,7,18,0
71,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,17,2,4,17,0
72,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,37,3,15,18,0
73,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,48,1,20,17,0
74,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,30,0,9,11,0
75,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,24,1,11,10,0
76,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,18,1,8,12,0
77,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,27,3,6,8,0
78,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,31,3,9,18,0
79,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,22,1,8,23,0
80,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,51,4,20,14,0
81,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,34,0,11,15,0
82,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,37,1,22,22,0
