sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,cumulative_trades_executed
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,126.28,11.36,29.32,70.58
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,central_cap2,Central capped (2),121.82,13.4,22.46,35.55
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,central_full,Central clearing,143.83,20.46,17.81,51.05
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,equity_central,Equity central,139.27,21.47,14.52,51.53
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,no_trade,No trade,29.92,1.8,11.32,0.0
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,public_pool,Public pool,140.49,21.45,13.9,49.94
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,1,0.2,bilateral_3pass,Bilateral 3-pass,118.04,10.45,27.4,56.37
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,1,0.2,central_cap2,Central capped (2),121.42,13.32,22.51,35.38
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,1,0.2,central_full,Central clearing,147.13,20.79,18.03,51.92
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,1,0.2,equity_central,Equity central,145.78,22.64,14.55,52.61
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,1,0.2,no_trade,No trade,29.92,1.8,11.32,0.0
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,1,0.2,public_pool,Public pool,123.24,14.56,26.39,44.46
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,2,0.4,bilateral_3pass,Bilateral 3-pass,112.09,9.41,27.36,45.23
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,2,0.4,central_cap2,Central capped (2),122.6,14.02,22.36,35.31
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,2,0.4,central_full,Central clearing,150.12,22.59,15.96,52.46
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,2,0.4,equity_central,Equity central,147.89,23.12,14.36,53.0
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,2,0.4,no_trade,No trade,29.92,1.8,11.32,0.0
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,2,0.4,public_pool,Public pool,109.59,9.27,31.52,37.93
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,3,0.6,bilateral_3pass,Bilateral 3-pass,109.15,10.16,26.39,32.34
cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,3,0.6,central_cap2,Central capped (2),123.91,13.82,22.67,35.09
