build_mode_development,build_mode_label_development,population,population_label,condition,condition_label,final_total_score_development,final_score_gap_development,cumulative_trades_executed_development,final_idle_infrastructure_development,final_total_infrastructure_development,final_total_production_sites_development,final_total_advanced_sites_development,final_total_innovation_development,build_mode_crown,build_mode_label_crown,final_total_score_crown,final_score_gap_crown,cumulative_trades_executed_crown,final_idle_infrastructure_crown,final_total_infrastructure_crown,final_total_production_sites_crown,final_total_advanced_sites_crown,final_total_innovation_crown,build_mode_comparison,build_mode_from,build_mode_to,delta_final_total_score,delta_final_score_gap,delta_cumulative_trades_executed,delta_final_idle_infrastructure,delta_final_total_infrastructure,delta_final_total_production_sites,delta_final_total_advanced_sites,delta_final_total_innovation,pct_change_final_total_score,pct_change_final_score_gap,pct_change_cumulative_trades_executed
development_oriented,Development-oriented,competitive,Competitive,bilateral_trade,Bilateral,91.085,26.71,19.805,13.895,39.855,6.59,6.39,26.535,crown_aware,Crown-aware,89.745,26.67,19.46,13.94,39.68,6.68,6.19,26.785,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.3399999999999892,-0.03999999999999915,-0.34499999999999886,0.04499999999999993,-0.17499999999999716,0.08999999999999986,-0.1999999999999993,0.25,-1.4711533183290215,-0.1497566454511387,-1.7419843473870178
development_oriented,Development-oriented,competitive,Competitive,bilateral_trade_3pass,Bilateral 3-pass,97.565,27.42,21.235,12.67,40.76,6.975,7.07,25.905,crown_aware,Crown-aware,95.965,27.23,20.81,13.125,40.625,6.82,6.93,25.93,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.5999999999999943,-0.19000000000000128,-0.4250000000000007,0.45500000000000007,-0.134999999999998,-0.15499999999999936,-0.14000000000000057,0.02499999999999858,-1.6399323527904417,-0.6929248723559492,-2.0014127619496147
development_oriented,Development-oriented,competitive,Competitive,bottleneck_priority_bilateral_trade,Bottleneck,92.005,26.235,19.59,14.05,40.2,6.56,6.515,26.485,crown_aware,Crown-aware,90.85,26.415,19.03,14.14,39.93,6.485,6.41,26.41,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.1550000000000011,0.17999999999999972,-0.5599999999999987,0.08999999999999986,-0.2700000000000031,-0.07499999999999929,-0.10499999999999954,-0.07499999999999929,-1.255366556165427,0.6861063464837039,-2.8586013272077526
development_oriented,Development-oriented,competitive,Competitive,catch_up_bilateral_trade,Catch-up,90.76,28.0,19.225,13.205,39.315,6.765,6.29,26.265,crown_aware,Crown-aware,89.71,27.795,19.045,13.84,39.49,6.595,6.23,26.385,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.0500000000000114,-0.2049999999999983,-0.17999999999999972,0.6349999999999998,0.17500000000000426,-0.16999999999999993,-0.05999999999999961,0.120000000000001,-1.1568973115910217,-0.7321428571428511,-0.936280884265278
development_oriented,Development-oriented,competitive,Competitive,central_clearing,Central clearing,145.06,17.24,51.99,8.59,47.18,5.845,13.45,20.245,crown_aware,Crown-aware,143.25,17.34,51.56,8.79,46.95,5.84,13.24,20.755,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.8100000000000023,0.10000000000000142,-0.4299999999999997,0.1999999999999993,-0.22999999999999687,-0.004999999999999893,-0.20999999999999908,0.509999999999998,-1.2477595477733368,0.5800464037123053,-0.8270821311790724
development_oriented,Development-oriented,competitive,Competitive,central_clearing_capped,Central capped (2),117.91,21.92,35.385,9.81,42.47,6.58,9.75,24.015,crown_aware,Crown-aware,117.185,22.07,35.24,9.7,42.24,6.62,9.65,24.14,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.7249999999999943,0.14999999999999858,-0.14499999999999602,-0.11000000000000121,-0.22999999999999687,0.040000000000000036,-0.09999999999999964,0.125,-0.614875752692727,0.6843065693430591,-0.409778154585265
development_oriented,Development-oriented,competitive,Competitive,clearinghouse_bargaining,Clearinghouse,97.02,27.07,20.72,12.59,40.45,6.92,7.01,25.71,crown_aware,Crown-aware,94.985,26.48,20.34,12.92,40.07,6.75,6.825,26.0,crown_aware_minus_development_oriented,development_oriented,crown_aware,-2.0349999999999966,-0.5899999999999999,-0.379999999999999,0.33000000000000007,-0.38000000000000256,-0.16999999999999993,-0.1849999999999996,0.28999999999999915,-2.097505668934237,-2.1795345400812702,-1.8339768339768292
development_oriented,Development-oriented,competitive,Competitive,equity_weighted_central,Equity central,140.4,14.72,52.505,9.015,46.995,6.325,12.665,21.66,crown_aware,Crown-aware,137.74,14.995,51.29,9.59,46.85,6.26,12.37,22.02,crown_aware_minus_development_oriented,development_oriented,crown_aware,-2.6599999999999966,0.2749999999999986,-1.2150000000000034,0.5749999999999993,-0.14499999999999602,-0.06500000000000039,-0.29499999999999993,0.35999999999999943,-1.894586894586892,1.8682065217391206,-2.31406532711171
development_oriented,Development-oriented,competitive,Competitive,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595,crown_aware,Crown-aware,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
development_oriented,Development-oriented,competitive,Competitive,public_pool,Public pool,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595,crown_aware,Crown-aware,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
