build_mode,build_mode_label,population,population_label,condition,condition_label,mean_final_total_score,mean_final_score_gap,rank_final_total_score,rank_lowest_final_score_gap
crown_aware,Crown-aware,competitive,Competitive,bilateral_trade,Bilateral,89.745,26.67,7,9
crown_aware,Crown-aware,competitive,Competitive,bilateral_trade_3pass,Bilateral 3-pass,95.965,27.23,4,10
crown_aware,Crown-aware,competitive,Competitive,bottleneck_priority_bilateral_trade,Bottleneck,90.85,26.415,6,7
crown_aware,Crown-aware,competitive,Competitive,catch_up_bilateral_trade,Catch-up,89.71,27.795,8,11
crown_aware,Crown-aware,competitive,Competitive,central_clearing,Central clearing,143.25,17.34,1,5
crown_aware,Crown-aware,competitive,Competitive,central_clearing_capped,Central capped (2),117.185,22.07,3,6
crown_aware,Crown-aware,competitive,Competitive,clearinghouse_bargaining,Clearinghouse,94.985,26.48,5,8
crown_aware,Crown-aware,competitive,Competitive,equity_weighted_central,Equity central,137.74,14.995,2,3
crown_aware,Crown-aware,competitive,Competitive,no_trade,No trade,29.36,10.785,10,1
crown_aware,Crown-aware,competitive,Competitive,public_pool,Public pool,29.36,10.785,11,2
crown_aware,Crown-aware,competitive,Competitive,subsidized_catch_up,Subsidized,72.8,15.325,9,4
crown_aware,Crown-aware,cooperative,Cooperative,bilateral_trade,Bilateral,114.52,28.49,7,8
crown_aware,Crown-aware,cooperative,Cooperative,bilateral_trade_3pass,Bilateral 3-pass,124.535,30.0,4,10
crown_aware,Crown-aware,cooperative,Cooperative,bottleneck_priority_bilateral_trade,Bottleneck,115.57,29.5,6,9
crown_aware,Crown-aware,cooperative,Cooperative,catch_up_bilateral_trade,Catch-up,113.395,30.25,9,11
crown_aware,Crown-aware,cooperative,Cooperative,central_clearing,Central clearing,144.53,17.45,1,5
crown_aware,Crown-aware,cooperative,Cooperative,central_clearing_capped,Central capped (2),117.95,22.02,5,6
crown_aware,Crown-aware,cooperative,Cooperative,clearinghouse_bargaining,Clearinghouse,113.655,27.625,8,7
crown_aware,Crown-aware,cooperative,Cooperative,equity_weighted_central,Equity central,139.035,14.865,3,3
crown_aware,Crown-aware,cooperative,Cooperative,no_trade,No trade,29.36,10.785,11,1
crown_aware,Crown-aware,cooperative,Cooperative,public_pool,Public pool,139.575,14.4,2,2
crown_aware,Crown-aware,cooperative,Cooperative,subsidized_catch_up,Subsidized,72.905,15.35,10,4
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,bilateral_trade,Bilateral,119.385,24.805,5,9
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,bilateral_trade_3pass,Bilateral 3-pass,127.45,24.91,4,10
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,bottleneck_priority_bilateral_trade,Bottleneck,116.845,24.41,8,8
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,catch_up_bilateral_trade,Catch-up,115.545,24.915,9,11
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,central_clearing,Central clearing,145.625,17.135,1,5
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,central_clearing_capped,Central capped (2),118.07,21.84,7,6
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,clearinghouse_bargaining,Clearinghouse,118.885,23.87,6,7
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,equity_weighted_central,Equity central,142.87,15.405,2,3
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,no_trade,No trade,29.455,10.875,11,2
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,public_pool,Public pool,136.335,10.735,3,1
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,subsidized_catch_up,Subsidized,73.855,15.625,10,4
crown_aware,Crown-aware,hoarding,Hoarding,bilateral_trade,Bilateral,89.02,28.01,6,11
crown_aware,Crown-aware,hoarding,Hoarding,bilateral_trade_3pass,Bilateral 3-pass,94.265,27.66,4,9
crown_aware,Crown-aware,hoarding,Hoarding,bottleneck_priority_bilateral_trade,Bottleneck,87.54,27.755,8,10
crown_aware,Crown-aware,hoarding,Hoarding,catch_up_bilateral_trade,Catch-up,88.855,27.64,7,8
crown_aware,Crown-aware,hoarding,Hoarding,central_clearing,Central clearing,154.915,18.7,1,5
crown_aware,Crown-aware,hoarding,Hoarding,central_clearing_capped,Central capped (2),125.235,21.775,3,6
crown_aware,Crown-aware,hoarding,Hoarding,clearinghouse_bargaining,Clearinghouse,91.015,27.39,5,7
crown_aware,Crown-aware,hoarding,Hoarding,equity_weighted_central,Equity central,153.245,16.17,2,3
crown_aware,Crown-aware,hoarding,Hoarding,no_trade,No trade,29.455,10.875,10,1
crown_aware,Crown-aware,hoarding,Hoarding,public_pool,Public pool,29.455,10.875,11,2
crown_aware,Crown-aware,hoarding,Hoarding,subsidized_catch_up,Subsidized,80.715,16.185,9,4
crown_aware,Crown-aware,mixed,Mixed,bilateral_trade,Bilateral,102.71,26.96,6,8
crown_aware,Crown-aware,mixed,Mixed,bilateral_trade_3pass,Bilateral 3-pass,110.615,26.95,4,7
crown_aware,Crown-aware,mixed,Mixed,bottleneck_priority_bilateral_trade,Bottleneck,102.18,27.44,7,9
crown_aware,Crown-aware,mixed,Mixed,catch_up_bilateral_trade,Catch-up,100.26,29.075,9,10
crown_aware,Crown-aware,mixed,Mixed,central_clearing,Central clearing,145.565,17.27,1,4
crown_aware,Crown-aware,mixed,Mixed,central_clearing_capped,Central capped (2),119.31,22.105,3,5
crown_aware,Crown-aware,mixed,Mixed,clearinghouse_bargaining,Clearinghouse,101.87,26.145,8,6
crown_aware,Crown-aware,mixed,Mixed,equity_weighted_central,Equity central,142.3,14.97,2,2
crown_aware,Crown-aware,mixed,Mixed,no_trade,No trade,29.43,10.84,11,1
crown_aware,Crown-aware,mixed,Mixed,public_pool,Public pool,107.955,29.385,5,11
crown_aware,Crown-aware,mixed,Mixed,subsidized_catch_up,Subsidized,74.99,15.635,10,3
crown_aware,Crown-aware,need_based,Need-based,bilateral_trade,Bilateral,126.555,26.965,8,8
