build_mode,build_mode_label,population,population_label,condition,condition_label,final_total_score,final_score_gap,cumulative_trades_executed,final_idle_infrastructure,final_total_infrastructure,final_total_production_sites,final_total_advanced_sites,final_total_innovation
crown_aware,Crown-aware,competitive,Competitive,bilateral_trade,Bilateral,89.745,26.67,19.46,13.94,39.68,6.68,6.19,26.785
crown_aware,Crown-aware,competitive,Competitive,bilateral_trade_3pass,Bilateral 3-pass,95.965,27.23,20.81,13.125,40.625,6.82,6.93,25.93
crown_aware,Crown-aware,competitive,Competitive,bottleneck_priority_bilateral_trade,Bottleneck,90.85,26.415,19.03,14.14,39.93,6.485,6.41,26.41
crown_aware,Crown-aware,competitive,Competitive,catch_up_bilateral_trade,Catch-up,89.71,27.795,19.045,13.84,39.49,6.595,6.23,26.385
crown_aware,Crown-aware,competitive,Competitive,central_clearing,Central clearing,143.25,17.34,51.56,8.79,46.95,5.84,13.24,20.755
crown_aware,Crown-aware,competitive,Competitive,central_clearing_capped,Central capped (2),117.185,22.07,35.24,9.7,42.24,6.62,9.65,24.14
crown_aware,Crown-aware,competitive,Competitive,clearinghouse_bargaining,Clearinghouse,94.985,26.48,20.34,12.92,40.07,6.75,6.825,26.0
crown_aware,Crown-aware,competitive,Competitive,equity_weighted_central,Equity central,137.74,14.995,51.29,9.59,46.85,6.26,12.37,22.02
crown_aware,Crown-aware,competitive,Competitive,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
crown_aware,Crown-aware,competitive,Competitive,public_pool,Public pool,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
crown_aware,Crown-aware,competitive,Competitive,subsidized_catch_up,Subsidized,72.8,15.325,17.94,12.14,34.29,6.95,4.125,18.975
crown_aware,Crown-aware,cooperative,Cooperative,bilateral_trade,Bilateral,114.52,28.49,42.3,12.38,43.59,6.105,9.5,23.905
crown_aware,Crown-aware,cooperative,Cooperative,bilateral_trade_3pass,Bilateral 3-pass,124.535,30.0,69.685,11.165,45.145,6.255,10.735,22.425
crown_aware,Crown-aware,cooperative,Cooperative,bottleneck_priority_bilateral_trade,Bottleneck,115.57,29.5,41.975,12.25,43.77,6.155,9.605,24.085
crown_aware,Crown-aware,cooperative,Cooperative,catch_up_bilateral_trade,Catch-up,113.395,30.25,41.915,12.705,43.425,5.895,9.465,23.49
crown_aware,Crown-aware,cooperative,Cooperative,central_clearing,Central clearing,144.53,17.45,51.865,8.82,47.1,5.7,13.44,20.465
crown_aware,Crown-aware,cooperative,Cooperative,central_clearing_capped,Central capped (2),117.95,22.02,35.295,9.61,42.43,6.695,9.715,23.965
crown_aware,Crown-aware,cooperative,Cooperative,clearinghouse_bargaining,Clearinghouse,113.655,27.625,42.18,12.31,43.06,5.885,9.49,23.235
crown_aware,Crown-aware,cooperative,Cooperative,equity_weighted_central,Equity central,139.035,14.865,51.955,9.26,46.84,6.265,12.525,21.79
crown_aware,Crown-aware,cooperative,Cooperative,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
crown_aware,Crown-aware,cooperative,Cooperative,public_pool,Public pool,139.575,14.4,50.03,6.2,39.97,3.025,13.86,18.435
crown_aware,Crown-aware,cooperative,Cooperative,subsidized_catch_up,Subsidized,72.905,15.35,17.995,12.18,34.37,6.96,4.135,18.925
crown_aware,Crown-aware,fairness_sensitive,Fairness-sensitive,bilateral_trade,Bilateral,119.385,24.805,35.425,11.035,44.165,6.655,9.91,23.61
