condition,condition_label,n_paired_observations,mean_difference,standard_deviation,standard_error,ci95_low,ci95_high
bilateral_trade,Bilateral,1400,-0.6557142857142857,12.054678094584585,0.32217482384131735,-1.28771211092009,-0.02371646050848142
bilateral_trade_3pass,Bilateral 3-pass,1400,-1.2307142857142856,12.812232787310004,0.3424213246407554,-1.9024288843187922,-0.5589996871097791
bottleneck_priority_bilateral_trade,Bottleneck,1400,-1.0785714285714285,13.345396658313838,0.35667072847148745,-1.778238528628803,-0.378904328514054
catch_up_bilateral_trade,Catch-up,1400,-1.2285714285714286,11.611376231980918,0.3103270832071627,-1.8373280016362021,-0.619814855506655
central_clearing,Central clearing,1400,-1.4085714285714286,8.622008225163045,0.2304328626036213,-1.8606026155060293,-0.9565402416368278
central_clearing_capped,Central capped (2),1400,-0.42642857142857143,7.623579076072627,0.2037487211688743,-0.826114515636973,-0.026742627220169846
clearinghouse_bargaining,Clearinghouse,1400,-1.2,12.773722132820968,0.3413920841061954,-1.8696955774665422,-0.5303044225334578
equity_weighted_central,Equity central,1400,-1.7042857142857142,9.366784435912036,0.25033784410678184,-2.1953637294943804,-1.213207699077048
no_trade,No trade,1400,0.015,0.3573840704878382,0.009551491051829706,-0.0037367886176055687,0.03373678861760557
public_pool,Public pool,1400,-0.18,3.309034139068981,0.08843765735381857,-0.3534847138193469,-0.006515286180653085
subsidized_catch_up,Subsidized,1400,-0.275,2.276009229521359,0.06082890532860185,-0.3943256984483091,-0.15567430155169096
