population,condition,mean_min_agent_score,mean_bottom_two_score,mean_score_sd,mean_score_gini,population_label,condition_label,institution_family,institution_family_label
competitive,bilateral_trade,6.795,9.03,9.889361445110799,0.29280084502109355,Competitive,Bilateral,decentralized_bargaining,Decentralized bargaining
competitive,bilateral_trade_3pass,7.955,10.1175,10.07922384855913,0.27951705852593506,Competitive,Bilateral 3-pass,decentralized_bargaining,Decentralized bargaining
competitive,bottleneck_priority_bilateral_trade,7.345,9.46,9.722124670478118,0.2819364813416532,Competitive,Bottleneck,decentralized_bargaining,Decentralized bargaining
competitive,catch_up_bilateral_trade,6.89,8.77,10.414147637532478,0.3062655516081696,Competitive,Catch-up,decentralized_bargaining,Decentralized bargaining
competitive,central_clearing,20.925,23.03,6.2714781815090275,0.11853063447759625,Competitive,Central clearing,central_matching,Central matching
competitive,central_clearing_capped,12.865,15.7475,7.976161527951498,0.18539257696889652,Competitive,Central capped (2),central_matching,Central matching
competitive,clearinghouse_bargaining,7.825,9.9875,9.99897842754833,0.27796288396984137,Competitive,Clearinghouse,coordinated_bargaining,Coordinated bargaining
competitive,equity_weighted_central,21.47,23.0375,5.362201075901179,0.10453475276362621,Competitive,Equity central,central_matching,Central matching
competitive,no_trade,1.88,2.435,4.062887917133924,0.33615367619508135,Competitive,No trade,baseline,Baseline
competitive,public_pool,1.88,2.435,4.062887917133924,0.33615367619508135,Competitive,Public pool,contribution_pool,Contribution-dependent pool
competitive,subsidized_catch_up,7.41,9.26,5.5750014284099,0.20519595820374056,Competitive,Subsidized,redistributive_support,Redistributive support
cooperative,bilateral_trade,9.76,13.005,10.41821536561409,0.24837082210007824,Cooperative,Bilateral,decentralized_bargaining,Decentralized bargaining
cooperative,bilateral_trade_3pass,11.3,14.8475,10.697209570200748,0.23205915672346528,Cooperative,Bilateral 3-pass,decentralized_bargaining,Decentralized bargaining
cooperative,bottleneck_priority_bilateral_trade,10.14,13.1675,10.703477452631514,0.2483467263735541,Cooperative,Bottleneck,decentralized_bargaining,Decentralized bargaining
cooperative,catch_up_bilateral_trade,9.365,12.545,11.026841985793647,0.2645394609956685,Cooperative,Catch-up,decentralized_bargaining,Decentralized bargaining
cooperative,central_clearing,20.925,23.03,6.2714781815090275,0.11853063447759625,Cooperative,Central clearing,central_matching,Central matching
cooperative,central_clearing_capped,12.865,15.7475,7.976161527951498,0.18539257696889652,Cooperative,Central capped (2),central_matching,Central matching
cooperative,clearinghouse_bargaining,10.625,13.7025,10.001643268439132,0.23403084864741064,Cooperative,Clearinghouse,coordinated_bargaining,Coordinated bargaining
cooperative,equity_weighted_central,21.47,23.0375,5.362201075901179,0.10453475276362621,Cooperative,Equity central,central_matching,Central matching
cooperative,no_trade,1.88,2.435,4.062887917133924,0.33615367619508135,Cooperative,No trade,baseline,Baseline
cooperative,public_pool,21.52,23.33,5.055655508447869,0.09708021915595516,Cooperative,Public pool,contribution_pool,Contribution-dependent pool
cooperative,subsidized_catch_up,7.41,9.26,5.5750014284099,0.20519595820374056,Cooperative,Subsidized,redistributive_support,Redistributive support
fairness_sensitive,bilateral_trade,12.655,15.2975,9.095995254494643,0.20689957160738173,Fairness-sensitive,Bilateral,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,bilateral_trade_3pass,14.095,17.03,8.861849118020537,0.1897522570942268,Fairness-sensitive,Bilateral 3-pass,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,bottleneck_priority_bilateral_trade,12.31,14.9825,8.931187730300541,0.21006791443436879,Fairness-sensitive,Bottleneck,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,catch_up_bilateral_trade,12.04,14.73,9.199474651028012,0.21101020539388649,Fairness-sensitive,Catch-up,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,central_clearing,21.425,23.355,6.21705640199051,0.11610799098616816,Fairness-sensitive,Central clearing,central_matching,Central matching
fairness_sensitive,central_clearing_capped,13.35,15.77,7.90794770898023,0.18217381883709294,Fairness-sensitive,Central capped (2),central_matching,Central matching
fairness_sensitive,clearinghouse_bargaining,12.37,15.325,8.983888685054248,0.20489133063780088,Fairness-sensitive,Clearinghouse,coordinated_bargaining,Coordinated bargaining
