population,condition,seed,min_agent_score,mean_agent_score,score_sd,bottom_two_mean_score,score_gini
competitive,bilateral_trade,0,6,21.6,11.253443917308159,10.0,0.29259259259259274
competitive,bilateral_trade,1,9,24.0,16.516658257650064,9.0,0.3666666666666667
competitive,bilateral_trade,2,12,20.4,4.923413450036469,15.5,0.12941176470588234
competitive,bilateral_trade,3,6,16.6,7.735631842325486,9.0,0.25542168674698806
competitive,bilateral_trade,4,9,23.2,10.85172797300043,11.0,0.26206896551724146
competitive,bilateral_trade,5,3,15.8,9.173875952943773,6.0,0.32405063291139236
competitive,bilateral_trade,6,1,10.4,6.916646586316233,2.0,0.34615384615384626
competitive,bilateral_trade,7,6,21.2,12.921300244170476,10.0,0.328301886792453
competitive,bilateral_trade,8,11,19.0,7.536577472566709,12.5,0.21052631578947367
competitive,bilateral_trade,9,6,11.8,3.9698866482558417,7.5,0.1898305084745764
competitive,bilateral_trade,10,6,19.0,10.334408546211051,7.5,0.29894736842105263
competitive,bilateral_trade,11,9,18.8,7.30479294709987,10.5,0.21702127659574466
competitive,bilateral_trade,12,9,17.2,7.782030583337489,10.0,0.24651162790697678
competitive,bilateral_trade,13,11,22.0,10.158740079360236,11.0,0.2472727272727273
competitive,bilateral_trade,14,13,17.0,4.516635916254486,13.5,0.13647058823529412
competitive,bilateral_trade,15,3,13.4,12.109500402576483,3.0,0.4597014925373135
competitive,bilateral_trade,16,6,19.6,9.13454979733539,10.0,0.2612244897959184
competitive,bilateral_trade,17,3,24.2,21.562931155109684,3.5,0.4760330578512397
competitive,bilateral_trade,18,6,21.4,13.032267646115928,7.5,0.34018691588785055
competitive,bilateral_trade,19,2,16.2,12.592060990957755,4.0,0.4296296296296296
competitive,bilateral_trade,20,6,22.2,11.01635148313633,11.5,0.27387387387387396
competitive,bilateral_trade,21,3,13.6,7.735631842325486,6.0,0.31176470588235294
competitive,bilateral_trade,22,9,17.4,11.128342194594845,10.0,0.3034482758620689
competitive,bilateral_trade,23,6,16.2,8.772684879784524,7.5,0.3012345679012347
competitive,bilateral_trade,24,6,19.2,8.423775875461075,10.0,0.24583333333333335
competitive,bilateral_trade,25,3,16.2,10.457533169921097,4.5,0.36049382716049383
competitive,bilateral_trade,26,3,14.8,7.884161337770809,7.5,0.291891891891892
competitive,bilateral_trade,27,3,12.2,7.35934779718964,5.5,0.32786885245901654
competitive,bilateral_trade,28,6,22.2,17.069270634681494,6.0,0.41081081081081083
competitive,bilateral_trade,29,6,18.2,9.368030742904295,8.5,0.2901098901098902
competitive,bilateral_trade,30,3,18.8,12.270289320142375,6.0,0.3659574468085107
competitive,bilateral_trade,31,3,18.8,8.423775875461075,11.0,0.225531914893617
competitive,bilateral_trade,32,13,24.6,8.867919710958146,16.0,0.20162601626016263
competitive,bilateral_trade,33,5,16.8,13.526270735128733,5.5,0.4190476190476191
competitive,bilateral_trade,34,6,20.6,14.361058456812994,6.0,0.3805825242718448
competitive,bilateral_trade,35,3,19.0,19.172897537930986,3.0,0.5221052631578948
competitive,bilateral_trade,36,17,26.2,6.49307323229917,19.5,0.13740458015267176
competitive,bilateral_trade,37,14,20.4,4.223742416388575,16.5,0.11372549019607847
competitive,bilateral_trade,38,6,22.0,15.748015748023622,9.0,0.3781818181818182
competitive,bilateral_trade,39,6,25.8,16.412190591142913,10.0,0.35038759689922494
competitive,bilateral_trade,40,6,15.0,4.898979485566356,10.0,0.17066666666666674
competitive,bilateral_trade,41,11,24.2,9.239047569960878,15.0,0.2148760330578512
competitive,bilateral_trade,42,6,12.8,6.273754856543249,6.0,0.26249999999999996
competitive,bilateral_trade,43,9,24.8,12.983065893693986,11.5,0.29032258064516125
competitive,bilateral_trade,44,6,15.8,8.158431221748456,6.0,0.27341772151898747
competitive,bilateral_trade,45,3,12.6,7.863841300534999,4.5,0.3492063492063493
competitive,bilateral_trade,46,11,23.2,8.930845424706442,12.5,0.2068965517241379
competitive,bilateral_trade,47,2,10.2,9.907572861200668,2.5,0.4862745098039216
competitive,bilateral_trade,48,6,15.2,11.160645142642965,6.0,0.37368421052631584
competitive,bilateral_trade,49,14,23.4,8.2365041127896,14.0,0.19145299145299144
competitive,bilateral_trade,50,6,16.4,10.947145746723207,7.5,0.3414634146341464
competitive,bilateral_trade,51,6,22.8,12.796874618437112,11.0,0.3087719298245615
competitive,bilateral_trade,52,6,15.6,11.909659944767524,7.5,0.3538461538461539
competitive,bilateral_trade,53,9,17.8,10.851727973000429,9.0,0.30561797752808983
competitive,bilateral_trade,54,3,15.0,14.791889669680478,4.5,0.4853333333333334
competitive,bilateral_trade,55,3,7.8,5.2687759489277965,3.0,0.35897435897435903
competitive,bilateral_trade,56,3,21.4,13.720058308913996,7.0,0.3551401869158879
competitive,bilateral_trade,57,3,20.8,11.872657663724663,7.0,0.31153846153846154
competitive,bilateral_trade,58,6,14.4,8.138795979750322,9.0,0.2666666666666666
competitive,bilateral_trade,59,5,17.8,12.023310692151309,5.5,0.3640449438202247
competitive,bilateral_trade,60,6,15.4,6.437390775772433,10.0,0.22337662337662345
competitive,bilateral_trade,61,14,20.0,5.932958789676531,14.5,0.16000000000000014
competitive,bilateral_trade,62,0,13.2,11.478675881825394,3.0,0.47272727272727266
competitive,bilateral_trade,63,6,22.2,14.715977711317723,10.0,0.34954954954954953
competitive,bilateral_trade,64,11,18.6,10.403845442911962,11.5,0.26236559139784954
competitive,bilateral_trade,65,6,17.6,13.602940858505562,7.5,0.3727272727272728
competitive,bilateral_trade,66,9,21.2,10.361467077590895,11.5,0.26792452830188673
competitive,bilateral_trade,67,9,21.8,14.048487463068756,9.5,0.3412844036697249
competitive,bilateral_trade,68,6,15.8,9.66229786334493,7.5,0.31898734177215204
competitive,bilateral_trade,69,9,23.0,10.564090116995406,11.5,0.2539130434782608
competitive,bilateral_trade,70,6,16.0,5.656854249492381,10.5,0.18999999999999995
competitive,bilateral_trade,71,3,11.8,16.14187101918486,3.0,0.576271186440678
competitive,bilateral_trade,72,17,27.8,8.059776671843954,20.0,0.1611510791366908
competitive,bilateral_trade,73,6,20.8,13.105723940324701,8.5,0.3384615384615386
competitive,bilateral_trade,74,17,25.0,7.874007874011811,18.0,0.16959999999999997
competitive,bilateral_trade,75,4,16.0,13.62350909274112,5.0,0.42000000000000015
competitive,bilateral_trade,76,6,14.0,5.477225575051661,7.5,0.21142857142857152
competitive,bilateral_trade,77,3,18.0,11.135528725660043,6.0,0.3422222222222222
competitive,bilateral_trade,78,6,24.8,13.13620949893842,10.0,0.2967741935483872
competitive,bilateral_trade,79,3,13.2,10.906878563548783,3.0,0.4424242424242424
competitive,bilateral_trade,80,6,20.2,12.023310692151309,6.0,0.32079207920792085
competitive,bilateral_trade,81,12,19.6,9.393614852653903,13.0,0.22448979591836737
competitive,bilateral_trade,82,6,21.2,12.448293055676348,11.5,0.29811320754716975
competitive,bilateral_trade,83,6,16.8,5.635601121442149,11.5,0.16666666666666674
competitive,bilateral_trade,84,6,19.2,10.303397497913007,10.0,0.29166666666666674
competitive,bilateral_trade,85,14,18.8,4.069397989875161,15.0,0.11914893617021272
competitive,bilateral_trade,86,3,12.6,10.36532681587995,4.0,0.43174603174603177
competitive,bilateral_trade,87,2,21.0,17.527121840165314,4.0,0.4571428571428573
competitive,bilateral_trade,88,3,10.4,8.212186067059124,4.5,0.39230769230769225
competitive,bilateral_trade,89,9,12.8,3.6,9.0,0.15000000000000013
competitive,bilateral_trade,90,13,25.8,7.19444229944198,18.0,0.1457364341085272
competitive,bilateral_trade,91,14,19.6,4.923413450036469,15.5,0.13469387755102047
competitive,bilateral_trade,92,6,19.4,8.16333265278342,11.5,0.23092783505154646
competitive,bilateral_trade,93,11,18.2,5.2687759489277965,13.5,0.15824175824175835
competitive,bilateral_trade,94,12,24.2,13.075167302944921,13.0,0.28099173553719003
competitive,bilateral_trade,95,9,24.6,15.265647709809107,10.0,0.3382113821138213
competitive,bilateral_trade,96,6,18.0,12.049896265113654,9.0,0.3333333333333335
competitive,bilateral_trade,97,11,17.6,7.255342858886822,11.5,0.21363636363636362
competitive,bilateral_trade,98,6,19.2,7.884161337770808,11.5,0.2250000000000001
competitive,bilateral_trade,99,11,20.8,12.351518125315609,11.5,0.2961538461538462
competitive,bilateral_trade,100,14,21.2,5.114684741017769,17.0,0.12452830188679243
competitive,bilateral_trade,101,11,17.4,5.535341001239218,12.5,0.1701149425287356
competitive,bilateral_trade,102,3,22.4,14.22111106770494,7.0,0.3571428571428572
competitive,bilateral_trade,103,9,18.8,8.49470423263812,10.0,0.25106382978723407
competitive,bilateral_trade,104,6,18.0,7.483314773547883,10.0,0.23111111111111104
competitive,bilateral_trade,105,6,17.2,13.105723940324701,6.0,0.39534883720930236
