population,population_label,condition,condition_label,mean_final_total_score,sd_final_total_score,ci95_low_final_total_score,ci95_high_final_total_score,mean_final_score_gap,sd_final_score_gap,ci95_low_final_score_gap,ci95_high_final_score_gap,mean_cumulative_trades_executed,sd_cumulative_trades_executed,ci95_low_cumulative_trades_executed,ci95_high_cumulative_trades_executed,mean_final_idle_infrastructure,sd_final_idle_infrastructure,ci95_low_final_idle_infrastructure,ci95_high_final_idle_infrastructure,mean_final_total_infrastructure,sd_final_total_infrastructure,ci95_low_final_total_infrastructure,ci95_high_final_total_infrastructure,mean_final_total_production_sites,sd_final_total_production_sites,ci95_low_final_total_production_sites,ci95_high_final_total_production_sites,mean_final_total_advanced_sites,sd_final_total_advanced_sites,ci95_low_final_total_advanced_sites,ci95_high_final_total_advanced_sites,mean_final_total_innovation,sd_final_total_innovation,ci95_low_final_total_innovation,ci95_high_final_total_innovation,institution_family,institution_family_label
competitive,Competitive,bilateral_trade,Bilateral,91.085,21.65461583438213,88.06551535185667,94.10448464814331,26.71,9.331736522891296,25.40879773500066,28.01120226499934,19.805,3.6501497181381644,19.29602902024965,20.313970979750348,13.895,5.983559972938243,13.06066206402768,14.72933793597232,39.855,5.506868712351457,39.087131123292195,40.6228688767078,6.59,2.931701617126014,6.181208262776298,6.998791737223701,6.39,2.7706102950496625,6.003670576477857,6.776329423522142,26.535,4.145443099653198,25.95696611129529,27.11303388870471,decentralized_bargaining,Decentralized bargaining
competitive,Competitive,bilateral_trade_3pass,Bilateral 3-pass,97.565,21.103139279196967,94.62241235178168,100.50758764821832,27.42,9.273813567807597,26.126874418280934,28.71312558171907,21.235,4.335175165848891,20.63051017850387,21.83948982149613,12.67,5.648951519205282,11.882319326244334,13.457680673755666,40.76,5.509461938726083,39.99176952799596,41.52823047200403,6.975,2.7952535146306987,6.585234365751477,7.364765634248522,7.07,2.675986644700056,6.6968647454147305,7.44313525458527,25.905,3.710094202978525,25.387670458125964,26.42232954187404,decentralized_bargaining,Decentralized bargaining
competitive,Competitive,bottleneck_priority_bilateral_trade,Bottleneck,92.005,20.577466697297602,89.13571128735896,94.87428871264103,26.235,9.676671164409827,24.88570060584151,27.58429939415849,19.59,3.5489258053472033,19.095143519118388,20.084856480881612,14.05,6.1437961518737625,13.193318990104164,14.906681009895838,40.2,5.28580159412575,39.462956365115794,40.93704363488421,6.56,3.0812123176979656,6.130360732228405,6.989639267771595,6.515,2.522217856286975,6.163306016852097,6.866693983147902,26.485,4.059825849669939,25.918904442315238,27.05109555768476,decentralized_bargaining,Decentralized bargaining
competitive,Competitive,catch_up_bilateral_trade,Catch-up,90.76,21.816788519544584,87.71790225463337,93.80209774536664,28.0,9.586422559403335,26.66328472552378,29.33671527447622,19.225,3.6110348744261134,18.72148313086544,19.728516869134562,13.205,5.824310082722115,12.39286761144555,14.017132388554451,39.315,5.38896835205937,38.56357095905909,40.0664290409409,6.765,3.0074906483645125,6.34564036270028,7.184359637299719,6.29,2.7465647799482653,5.907023444257211,6.672976555742789,26.265,4.26211250614943,25.670697917737037,26.859302082262964,decentralized_bargaining,Decentralized bargaining
competitive,Competitive,central_clearing,Central clearing,145.06,23.20969300198155,141.82367790388915,148.29632209611086,17.24,5.799185525900951,16.431370939059075,18.04862906094092,51.99,8.422266492122034,50.815612766809906,53.1643872331901,8.59,4.123946492544105,8.014963563462047,9.165036436537953,47.18,5.435561298814119,46.422074113836175,47.937925886163825,5.845,2.482294084027515,5.498872923157681,6.191127076842318,13.45,3.272774858798251,12.993649560973488,13.906350439026511,20.245,3.800948704636302,19.715001853193485,20.774998146806517,central_matching,Central matching
competitive,Competitive,central_clearing_capped,Central capped (2),117.91,19.53149498841325,115.18655989264126,120.63344010735874,21.92,6.9898418756962,20.945347741191355,22.894652258808648,35.385,2.90326016712074,34.980174092616856,35.78982590738314,9.81,4.103424234984884,9.237825153901667,10.382174846098334,42.47,5.4734718846781165,41.7067879229892,43.2332120770108,6.58,2.06760123678911,6.291697023825544,6.868302976174456,9.75,2.60797000321868,9.386348876019587,10.113651123980413,24.015,4.171544548437422,23.433326567444638,24.596673432555363,central_matching,Central matching
competitive,Competitive,clearinghouse_bargaining,Clearinghouse,97.02,20.614177684497633,94.1455923666117,99.8944076333883,27.07,9.557816659493026,25.737273485993423,28.402726514006577,20.72,3.902273528786437,20.17587328340785,21.26412671659215,12.59,5.833700395247218,11.776558241437433,13.403441758562566,40.45,5.352639887835179,39.70363654142059,41.19636345857941,6.92,2.892304813756392,6.516701689391219,7.323298310608781,7.01,2.6428817833196803,6.641480833803528,7.3785191661964715,25.71,4.008270344647292,25.151093258645844,26.268906741354158,coordinated_bargaining,Coordinated bargaining
competitive,Competitive,equity_weighted_central,Equity central,140.4,26.260006467982688,136.73834712207997,144.06165287792004,14.72,5.949671668657368,13.890387394428844,15.549612605571157,52.505,9.084747557910168,51.23823747725816,53.771762522741845,9.015,4.316006785544285,8.413182986486344,9.616817013513657,46.995,5.753301433693066,46.192768942749154,47.79723105725084,6.325,2.5320805991919024,5.971930771915047,6.678069228084953,12.665,3.7015242005199944,12.148865445423635,13.181134554576364,21.66,4.221790803431606,21.071320310822863,22.248679689177138,central_matching,Central matching
competitive,Competitive,no_trade,No trade,29.36,9.227466101442277,28.07333703411493,30.646662965885067,10.785,6.424573974495811,9.889167784124314,11.680832215875686,0.0,0.0,0.0,0.0,15.635,4.886837515666201,14.953587271675513,16.316412728324487,21.895,5.811440371885432,21.08466214313314,22.70533785686686,2.705,2.0442283010304068,2.419956108227928,2.990043891772072,0.425,0.7464320491646255,0.3209187209520377,0.5290812790479623,15.595,3.459888603080835,15.11255872275964,16.07744127724036,baseline,Baseline
competitive,Competitive,public_pool,Public pool,29.36,9.227466101442277,28.07333703411493,30.646662965885067,10.785,6.424573974495811,9.889167784124314,11.680832215875686,0.0,0.0,0.0,0.0,15.635,4.886837515666201,14.953587271675513,16.316412728324487,21.895,5.811440371885432,21.08466214313314,22.70533785686686,2.705,2.0442283010304068,2.419956108227928,2.990043891772072,0.425,0.7464320491646255,0.3209187209520377,0.5290812790479623,15.595,3.459888603080835,15.11255872275964,16.07744127724036,contribution_pool,Contribution-dependent pool
competitive,Competitive,subsidized_catch_up,Subsidized,73.285,16.406389703879942,70.99731952479772,75.57268047520228,15.405,6.162047479996293,14.545774054396428,16.26422594560357,18.23,3.7088919365472117,17.71283810021484,18.747161899785162,12.195,4.83257112918092,11.521154088937742,12.868845911062259,34.495,5.412620186788666,33.74027298543482,35.249727014565174,6.975,2.616986452095666,6.610091636954574,7.339908363045425,4.175,1.9605083434722024,3.901629883857271,4.448370116142728,18.855,3.6812679430247552,18.341689945244067,19.368310054755934,redistributive_support,Redistributive support
cooperative,Cooperative,bilateral_trade,Bilateral,115.58,20.047020104628434,112.78467590328539,118.3753240967146,28.545,8.426923531218554,27.369963396801904,29.7200366031981,42.43,5.037058645578288,41.72764068000816,43.13235931999184,12.58,5.5838604466298385,11.801395520247308,13.358604479752692,43.92,5.78801395364923,43.11292868504579,44.727071314954216,5.975,2.6908321927328047,5.599794706180555,6.350205293819444,9.695,2.6011159182359602,9.33230459855656,10.057695401443441,23.455,4.312885333451086,22.8536182367234,24.056381763276597,decentralized_bargaining,Decentralized bargaining
