policy_name,scenario,action,rounds,share
frequency_informed_random,cooperative,bilateral_3pass,1274,0.637
frequency_informed_random,cooperative,clearinghouse,235,0.1175
frequency_informed_random,cooperative,public_pool,74,0.037
frequency_informed_random,cooperative,subsidized_catch_up,340,0.17
frequency_informed_random,cooperative,central_cap2,25,0.0125
frequency_informed_random,cooperative,equity_cap2,30,0.015
frequency_informed_random,cooperative,central_full,22,0.011
frequency_informed_random,cooperative_to_hoarding,bilateral_3pass,1263,0.6315
frequency_informed_random,cooperative_to_hoarding,clearinghouse,241,0.1205
frequency_informed_random,cooperative_to_hoarding,public_pool,74,0.037
frequency_informed_random,cooperative_to_hoarding,subsidized_catch_up,341,0.1705
frequency_informed_random,cooperative_to_hoarding,central_cap2,27,0.0135
frequency_informed_random,cooperative_to_hoarding,equity_cap2,32,0.016
frequency_informed_random,cooperative_to_hoarding,central_full,22,0.011
frequency_informed_random,hoarding,bilateral_3pass,1253,0.6265
frequency_informed_random,hoarding,clearinghouse,238,0.119
frequency_informed_random,hoarding,public_pool,79,0.0395
frequency_informed_random,hoarding,subsidized_catch_up,342,0.171
frequency_informed_random,hoarding,central_cap2,28,0.014
frequency_informed_random,hoarding,equity_cap2,32,0.016
frequency_informed_random,hoarding,central_full,28,0.014
frequency_informed_random,mixed,bilateral_3pass,1277,0.6385
frequency_informed_random,mixed,clearinghouse,232,0.116
frequency_informed_random,mixed,public_pool,76,0.038
frequency_informed_random,mixed,subsidized_catch_up,336,0.168
frequency_informed_random,mixed,central_cap2,27,0.0135
frequency_informed_random,mixed,equity_cap2,28,0.014
frequency_informed_random,mixed,central_full,24,0.012
frequency_informed_random,need_based,bilateral_3pass,1279,0.6395
frequency_informed_random,need_based,clearinghouse,232,0.116
frequency_informed_random,need_based,public_pool,72,0.036
frequency_informed_random,need_based,subsidized_catch_up,341,0.1705
frequency_informed_random,need_based,central_cap2,26,0.013
frequency_informed_random,need_based,equity_cap2,29,0.0145
frequency_informed_random,need_based,central_full,21,0.0105
frequency_informed_random,need_based_to_competitive,bilateral_3pass,1268,0.634
frequency_informed_random,need_based_to_competitive,clearinghouse,236,0.118
frequency_informed_random,need_based_to_competitive,public_pool,76,0.038
frequency_informed_random,need_based_to_competitive,subsidized_catch_up,341,0.1705
frequency_informed_random,need_based_to_competitive,central_cap2,25,0.0125
frequency_informed_random,need_based_to_competitive,equity_cap2,31,0.0155
frequency_informed_random,need_based_to_competitive,central_full,23,0.0115
learned_q,cooperative,bilateral_3pass,1192,0.596
learned_q,cooperative,clearinghouse,296,0.148
learned_q,cooperative,public_pool,108,0.054
learned_q,cooperative,subsidized_catch_up,317,0.1585
learned_q,cooperative,central_cap2,30,0.015
learned_q,cooperative,equity_cap2,18,0.009
learned_q,cooperative,central_full,39,0.0195
learned_q,cooperative_to_hoarding,bilateral_3pass,1126,0.563
learned_q,cooperative_to_hoarding,clearinghouse,284,0.142
learned_q,cooperative_to_hoarding,public_pool,98,0.049
learned_q,cooperative_to_hoarding,subsidized_catch_up,415,0.2075
learned_q,cooperative_to_hoarding,central_cap2,14,0.007
learned_q,cooperative_to_hoarding,equity_cap2,18,0.009
learned_q,cooperative_to_hoarding,central_full,45,0.0225
learned_q,hoarding,bilateral_3pass,1107,0.5535
learned_q,hoarding,clearinghouse,232,0.116
learned_q,hoarding,public_pool,82,0.041
learned_q,hoarding,subsidized_catch_up,430,0.215
learned_q,hoarding,central_cap2,53,0.0265
learned_q,hoarding,equity_cap2,49,0.0245
learned_q,hoarding,central_full,47,0.0235
learned_q,mixed,bilateral_3pass,1187,0.5935
learned_q,mixed,clearinghouse,202,0.101
learned_q,mixed,public_pool,85,0.0425
learned_q,mixed,subsidized_catch_up,376,0.188
learned_q,mixed,central_cap2,46,0.023
learned_q,mixed,equity_cap2,38,0.019
learned_q,mixed,central_full,66,0.033
learned_q,need_based,bilateral_3pass,1189,0.5945
learned_q,need_based,clearinghouse,264,0.132
learned_q,need_based,public_pool,101,0.0505
learned_q,need_based,subsidized_catch_up,336,0.168
learned_q,need_based,central_cap2,33,0.0165
learned_q,need_based,equity_cap2,25,0.0125
learned_q,need_based,central_full,52,0.026
learned_q,need_based_to_competitive,bilateral_3pass,1150,0.575
learned_q,need_based_to_competitive,clearinghouse,266,0.133
learned_q,need_based_to_competitive,public_pool,91,0.0455
learned_q,need_based_to_competitive,subsidized_catch_up,391,0.1955
learned_q,need_based_to_competitive,central_cap2,15,0.0075
learned_q,need_based_to_competitive,equity_cap2,26,0.013
learned_q,need_based_to_competitive,central_full,61,0.0305
random_feasible,cooperative,bilateral_3pass,1141,0.5705
random_feasible,cooperative,clearinghouse,278,0.139
random_feasible,cooperative,public_pool,70,0.035
random_feasible,cooperative,subsidized_catch_up,340,0.17
random_feasible,cooperative,central_cap2,74,0.037
random_feasible,cooperative,equity_cap2,66,0.033
random_feasible,cooperative,central_full,31,0.0155
random_feasible,cooperative_to_hoarding,bilateral_3pass,1104,0.552
random_feasible,cooperative_to_hoarding,clearinghouse,304,0.152
random_feasible,cooperative_to_hoarding,public_pool,72,0.036
random_feasible,cooperative_to_hoarding,subsidized_catch_up,344,0.172
random_feasible,cooperative_to_hoarding,central_cap2,78,0.039
random_feasible,cooperative_to_hoarding,equity_cap2,67,0.0335
random_feasible,cooperative_to_hoarding,central_full,31,0.0155
random_feasible,hoarding,bilateral_3pass,1055,0.5275
random_feasible,hoarding,clearinghouse,325,0.1625
random_feasible,hoarding,public_pool,84,0.042
random_feasible,hoarding,subsidized_catch_up,321,0.1605
random_feasible,hoarding,central_cap2,89,0.0445
random_feasible,hoarding,equity_cap2,89,0.0445
random_feasible,hoarding,central_full,37,0.0185
random_feasible,mixed,bilateral_3pass,1139,0.5695
random_feasible,mixed,clearinghouse,301,0.1505
random_feasible,mixed,public_pool,71,0.0355
random_feasible,mixed,subsidized_catch_up,303,0.1515
random_feasible,mixed,central_cap2,80,0.04
random_feasible,mixed,equity_cap2,74,0.037
random_feasible,mixed,central_full,32,0.016
random_feasible,need_based,bilateral_3pass,1140,0.57
random_feasible,need_based,clearinghouse,286,0.143
random_feasible,need_based,public_pool,72,0.036
random_feasible,need_based,subsidized_catch_up,316,0.158
random_feasible,need_based,central_cap2,84,0.042
random_feasible,need_based,equity_cap2,68,0.034
random_feasible,need_based,central_full,34,0.017
random_feasible,need_based_to_competitive,bilateral_3pass,1109,0.5545
random_feasible,need_based_to_competitive,clearinghouse,300,0.15
random_feasible,need_based_to_competitive,public_pool,79,0.0395
random_feasible,need_based_to_competitive,subsidized_catch_up,319,0.1595
random_feasible,need_based_to_competitive,central_cap2,89,0.0445
random_feasible,need_based_to_competitive,equity_cap2,70,0.035
random_feasible,need_based_to_competitive,central_full,34,0.017
shuffled_learned_sequence,cooperative,bilateral_3pass,1268,0.634
shuffled_learned_sequence,cooperative,clearinghouse,278,0.139
shuffled_learned_sequence,cooperative,public_pool,93,0.0465
shuffled_learned_sequence,cooperative,subsidized_catch_up,297,0.1485
shuffled_learned_sequence,cooperative,central_cap2,25,0.0125
shuffled_learned_sequence,cooperative,equity_cap2,13,0.0065
shuffled_learned_sequence,cooperative,central_full,26,0.013
shuffled_learned_sequence,cooperative_to_hoarding,bilateral_3pass,1208,0.604
shuffled_learned_sequence,cooperative_to_hoarding,clearinghouse,260,0.13
shuffled_learned_sequence,cooperative_to_hoarding,public_pool,88,0.044
shuffled_learned_sequence,cooperative_to_hoarding,subsidized_catch_up,387,0.1935
shuffled_learned_sequence,cooperative_to_hoarding,central_cap2,11,0.0055
shuffled_learned_sequence,cooperative_to_hoarding,equity_cap2,18,0.009
shuffled_learned_sequence,cooperative_to_hoarding,central_full,28,0.014
shuffled_learned_sequence,hoarding,bilateral_3pass,1195,0.5975
shuffled_learned_sequence,hoarding,clearinghouse,223,0.1115
shuffled_learned_sequence,hoarding,public_pool,61,0.0305
shuffled_learned_sequence,hoarding,subsidized_catch_up,411,0.2055
shuffled_learned_sequence,hoarding,central_cap2,43,0.0215
shuffled_learned_sequence,hoarding,equity_cap2,39,0.0195
shuffled_learned_sequence,hoarding,central_full,28,0.014
shuffled_learned_sequence,mixed,bilateral_3pass,1274,0.637
shuffled_learned_sequence,mixed,clearinghouse,199,0.0995
shuffled_learned_sequence,mixed,public_pool,69,0.0345
shuffled_learned_sequence,mixed,subsidized_catch_up,353,0.1765
shuffled_learned_sequence,mixed,central_cap2,35,0.0175
shuffled_learned_sequence,mixed,equity_cap2,32,0.016
shuffled_learned_sequence,mixed,central_full,38,0.019
shuffled_learned_sequence,need_based,bilateral_3pass,1267,0.6335
shuffled_learned_sequence,need_based,clearinghouse,257,0.1285
shuffled_learned_sequence,need_based,public_pool,90,0.045
shuffled_learned_sequence,need_based,subsidized_catch_up,316,0.158
shuffled_learned_sequence,need_based,central_cap2,23,0.0115
shuffled_learned_sequence,need_based,equity_cap2,20,0.01
shuffled_learned_sequence,need_based,central_full,27,0.0135
shuffled_learned_sequence,need_based_to_competitive,bilateral_3pass,1219,0.6095
shuffled_learned_sequence,need_based_to_competitive,clearinghouse,256,0.128
shuffled_learned_sequence,need_based_to_competitive,public_pool,75,0.0375
shuffled_learned_sequence,need_based_to_competitive,subsidized_catch_up,381,0.1905
shuffled_learned_sequence,need_based_to_competitive,central_cap2,14,0.007
shuffled_learned_sequence,need_based_to_competitive,equity_cap2,20,0.01
shuffled_learned_sequence,need_based_to_competitive,central_full,35,0.0175
