policy_name,action,rounds,share
frequency_informed_random,bilateral_3pass,7614,0.6345
frequency_informed_random,clearinghouse,1414,0.11783333333333333
frequency_informed_random,public_pool,451,0.03758333333333334
frequency_informed_random,subsidized_catch_up,2041,0.17008333333333334
frequency_informed_random,central_cap2,158,0.013166666666666667
frequency_informed_random,equity_cap2,182,0.015166666666666667
frequency_informed_random,central_full,140,0.011666666666666667
learned_q,bilateral_3pass,6951,0.57925
learned_q,clearinghouse,1544,0.12866666666666668
learned_q,public_pool,565,0.04708333333333333
learned_q,subsidized_catch_up,2265,0.18875
learned_q,central_cap2,191,0.015916666666666666
learned_q,equity_cap2,174,0.0145
learned_q,central_full,310,0.025833333333333333
random_feasible,bilateral_3pass,6688,0.5573333333333333
random_feasible,clearinghouse,1794,0.1495
random_feasible,public_pool,448,0.037333333333333336
random_feasible,subsidized_catch_up,1943,0.16191666666666665
random_feasible,central_cap2,494,0.041166666666666664
random_feasible,equity_cap2,434,0.036166666666666666
random_feasible,central_full,199,0.016583333333333332
shuffled_learned_sequence,bilateral_3pass,7431,0.61925
shuffled_learned_sequence,clearinghouse,1473,0.12275
shuffled_learned_sequence,public_pool,476,0.03966666666666667
shuffled_learned_sequence,subsidized_catch_up,2145,0.17875
shuffled_learned_sequence,central_cap2,151,0.012583333333333334
shuffled_learned_sequence,equity_cap2,142,0.011833333333333333
shuffled_learned_sequence,central_full,182,0.015166666666666667
